numeral;form;year;century;homogenious_parts;pair_numerals;definiteness;adjectives
dva;anim;1997;XX;yes_anim;no;high;yes
dva;anim;1997;XX;no;no;high;no
dva;anim;1997;XX;no;no;high;no
dva;anim;1997;XX;no;no;high;no
dva;anim;1997;XX;yes_anim;no;high;no
dva;anim;1997;XX;no;no;high;no
dva;anim;1997;XX;no;no;high;yes
dva;anim;1997;XX;no;no;high;yes
dva;anim;1997;XX;no;no;high;no
dva;anim;1997;XX;no;no;high;no
dva;anim;1996;XX;yes_anim;no;high;no
dva;anim;1996;XX;no;no;high;no
dva;anim;1995;XX;no;no;high;yes
dva;anim;1993;XX;yes_anim;no;high;yes
dva;anim;1993;XX;yes_inanim;no;high;no
dva;anim;1993;XX;no;yes;medium;no
dva;anim;1993;XX;no;no;high;yes
dva;anim;1993;XX;no;no;high;yes
dva;anim;1991;XX;no;no;high;no
dva;anim;1991;XX;no;no;high;no
dva;anim;1990;XX;no;no;medium;no
dva;anim;1989;XX;no;no;high;yes
dva;anim;1989;XX;no;no;high;no
dva;anim;1989;XX;no;no;high;no
dva;anim;1989;XX;no;no;medium;no
dva;anim;1989;XX;no;no;high;no
dva;anim;1988;XX;no;no;high;no
dva;anim;1985;XX;no;no;high;yes
dva;anim;1985;XX;no;no;high;no
dva;anim;1983;XX;no;no;high;no
dva;anim;1983;XX;no;no;high;no
dva;anim;1983;XX;no;no;high;no
dva;anim;1982;XX;yes_inanim;no;high;no
dva;anim;1982;XX;no;no;high;no
dva;anim;1982;XX;no;no;medium;no
dva;anim;1981;XX;no;no;medium;no
dva;anim;1981;XX;yes_anim;no;high;no
dva;anim;1980;XX;no;no;high;yes
dva;anim;1979;XX;yes_inanim;no;high;no
dva;anim;1979;XX;no;no;medium;no
dva;anim;1979;XX;no;no;high;no
dva;anim;1979;XX;no;no;high;no
dva;anim;1978;XX;yes_anim;no;high;no
dva;anim;1978;XX;no;no;high;no
dva;anim;1978;XX;yes_anim;no;high;no
dva;anim;1977;XX;no;no;medium;no
dva;anim;1977;XX;no;no;high;no
dva;anim;1977;XX;no;no;high;yes
dva;anim;1977;XX;no;no;medium;no
dva;anim;1975;XX;yes_anim;no;high;no
dva;anim;1975;XX;no;no;high;yes
dva;anim;1974;XX;no;no;high;yes
dva;anim;1974;XX;yes_anim;no;high;no
dva;anim;1973;XX;no;yes;low;yes
dva;anim;1973;XX;no;no;high;yes
dva;anim;1973;XX;yes_anim;no;high;no
dva;anim;1971;XX;no;no;medium;no
dva;anim;1971;XX;no;no;medium;no
dva;anim;1970;XX;yes_anim;no;high;yes
dva;anim;1969;XX;no;no;high;yes
dva;anim;1969;XX;no;no;high;no
dva;anim;1969;XX;no;no;high;no
dva;anim;1968;XX;no;no;medium;no
dva;anim;1967;XX;no;no;medium;no
dva;anim;1967;XX;no;no;medium;yes
dva;anim;1966;XX;no;no;medium;no
dva;anim;1966;XX;yes_inanim;no;high;no
dva;anim;1966;XX;no;no;high;no
dva;anim;1966;XX;no;no;high;yes
dva;anim;1963;XX;no;no;high;no
dva;anim;1961;XX;no;no;high;no
dva;anim;1961;XX;no;no;high;yes
dva;anim;1960;XX;yes_anim;no;high;no
dva;anim;1960;XX;yes_anim;no;high;no
dva;anim;1960;XX;no;no;medium;no
dva;anim;1959;XX;yes_anim;no;high;no
dva;anim;1958;XX;no;no;high;yes
dva;anim;1958;XX;no;no;high;no
dva;anim;1956;XX;no;no;high;yes
dva;anim;1956;XX;no;no;high;no
dva;anim;1956;XX;no;no;high;no
dva;anim;1954;XX;no;no;medium;yes
dva;anim;1954;XX;no;no;medium;yes
dva;anim;1954;XX;no;no;medium;no
dva;anim;1954;XX;no;no;medium;no
dva;anim;1954;XX;no;no;high;no
dva;anim;1953;XX;no;no;medium;no
dva;anim;1953;XX;no;no;high;no
dva;anim;1951;XX;yes_anim;no;high;yes
dva;anim;1950;XX;no;no;medium;no
dva;anim;1950;XX;no;no;high;no
dva;anim;1950;XX;no;no;high;yes
dva;anim;1950;XX;no;no;high;yes
dva;anim;1950;XX;yes_inanim;no;high;no
dva;anim;1948;XX;yes_anim;no;high;no
dva;anim;1948;XX;yes_anim;no;high;no
dva;anim;1948;XX;no;no;high;no
dva;anim;1948;XX;no;no;high;no
dva;anim;1947;XX;no;no;high;no
dva;anim;1946;XX;no;no;high;no
dva;anim;1946;XX;no;no;high;no
dva;anim;1946;XX;no;no;high;no
dva;anim;1946;XX;no;no;high;no
dva;anim;1946;XX;no;no;high;no
dva;anim;1946;XX;no;no;high;yes
dva;anim;1946;XX;no;no;high;no
dva;anim;1945;XX;no;no;high;yes
dva;anim;1945;XX;no;no;medium;no
dva;anim;1945;XX;yes_anim;no;medium;no
dva;anim;1944;XX;no;no;high;yes
dva;anim;1940;XX;yes_anim;no;medium;no
dva;anim;1940;XX;no;no;medium;no
dva;anim;1940;XX;no;no;high;no
dva;anim;1940;XX;no;no;high;yes
dva;anim;1939;XX;no;no;high;no
dva;anim;1939;XX;no;yes;low;no
dva;anim;1939;XX;no;no;high;yes
dva;anim;1938;XX;no;no;high;yes
dva;anim;1938;XX;no;no;high;no
dva;anim;1938;XX;no;no;high;no
dva;anim;1938;XX;no;no;high;yes
dva;anim;1937;XX;no;no;high;yes
dva;anim;1937;XX;yes_anim;no;high;yes
dva;anim;1937;XX;no;no;high;yes
dva;anim;1937;XX;no;no;high;no
dva;anim;1937;XX;no;no;high;yes
dva;anim;1927;XX;no;no;high;no
dva;anim;1927;XX;no;no;high;no
dva;anim;1937;XX;no;no;medium;no
dva;anim;1936;XX;no;no;high;no
dva;anim;1936;XX;yes_anim;no;high;no
dva;anim;1936;XX;no;no;high;yes
dva;anim;1936;XX;yes_inanim;no;high;yes
dva;anim;1934;XX;no;no;high;yes
dva;anim;1934;XX;no;no;medium;no
dva;anim;1934;XX;no;no;high;no
