numeral;form;year;century;homogenious_parts;pair_numerals;definiteness;adjectives
tri;anim;1889;XIX;no;no;high;yes
tri;anim;1880;XIX;no;no;medium;yes
tri;anim;1879;XIX;no;yes;low;no
tri;anim;1878;XIX;no;no;high;yes
tri;anim;1869;XIX;no;no;high;no
tri;anim;1869;XIX;no;no;high;no
tri;anim;1869;XIX;no;no;high;no
tri;anim;1869;XIX;no;no;medium;no
tri;anim;1863;XIX;no;no;high;no
tri;anim;1856;XIX;no;no;high;no
tri;anim;1852;XIX;no;no;high;no
tri;anim;1847;XIX;no;no;high;no
tri;anim;1845;XIX;no;no;high;yes
tri;anim;1845;XIX;no;no;high;yes
tri;anim;1841;XIX;no;no;high;yes
tri;anim;1836;XIX;yes_anim;no;high;no
tri;anim;1836;XIX;no;no;high;yes
tri;anim;1831;XIX;no;no;high;yes
tri;anim;1829;XIX;no;no;high;yes
tri;anim;1811;XIX;no;no;high;yes
chetyre;inanim;1989;XX;yes_anim;no;high;no
chetyre;inanim;1977;XX;no;no;high;yes
chetyre;inanim;1901;XX;no;no;high;no
chetyre;inanim;1895;XIX;yes_anim;no;high;no
chetyre;inanim;1881;XIX;no;no;medium;no
chetyre;inanim;1873;XIX;no;no;high;yes
chetyre;inanim;1873;XIX;yes_anim;no;high;no
chetyre;inanim;1870;XIX;yes_anim;no;high;no
chetyre;inanim;1867;XIX;no;no;high;no
chetyre;inanim;1851;XIX;no;no;medium;no
chetyre;inanim;1849;XIX;yes_inanim;no;high;no
chetyre;inanim;1845;XIX;no;no;high;no
chetyre;inanim;1831;XIX;no;no;high;no
chetyre;inanim;1811;XIX;yes_anim;no;high;no
chetyre;anim;2003;XXI;no;no;high;no
chetyre;anim;2003;XXI;yes_anim;no;high;no
chetyre;anim;2003;XXI;no;no;high;no
chetyre;anim;1998;XX;yes_anim;no;high;yes
chetyre;anim;1991;XX;yes_anim;no;high;no
chetyre;anim;1989;XX;no;no;high;no
chetyre;anim;1989;XX;no;no;high;no
chetyre;anim;1981;XX;no;no;medium;no
chetyre;anim;1981;XX;no;no;medium;no
chetyre;anim;1977;XX;yes_anim;no;high;no
chetyre;anim;1965;XX;no;no;high;no
chetyre;anim;1962;XX;no;no;medium;no
chetyre;anim;1957;XX;no;no;high;no
chetyre;anim;1954;XX;no;no;high;no
chetyre;anim;1954;XX;no;no;high;yes
chetyre;anim;1951;XX;no;no;high;yes
chetyre;anim;1951;XX;no;no;medium;yes
chetyre;anim;1951;XX;no;no;high;no
chetyre;anim;1940;XX;no;no;high;no
chetyre;anim;1939;XX;yes_anim;no;high;yes
chetyre;anim;1937;XX;no;no;high;yes
chetyre;anim;1934;XX;no;no;medium;no
chetyre;anim;1929;XX;yes_inanim;no;high;no
chetyre;anim;1927;XX;no;no;high;yes
chetyre;anim;1925;XX;no;no;high;no
chetyre;anim;1924;XX;no;no;high;no
chetyre;anim;1923;XX;no;no;high;no
chetyre;anim;1920;XX;no;no;high;no
chetyre;anim;1917;XX;no;no;medium;no
chetyre;anim;1916;XX;no;no;medium;no
chetyre;anim;1912;XX;no;no;high;no
chetyre;anim;1911;XX;no;no;high;no
chetyre;anim;1910;XX;no;no;high;no
chetyre;anim;1910;XX;no;no;high;no
chetyre;anim;1910;XX;no;no;high;no
chetyre;anim;1905;XX;no;no;high;yes
chetyre;anim;1903;XX;no;no;high;no
chetyre;anim;1903;XX;no;no;high;yes
chetyre;anim;1902;XX;no;no;medium;no
chetyre;anim;1891;XIX;no;no;medium;no
chetyre;anim;1889;XIX;no;no;medium;no
chetyre;anim;1857;XIX;no;no;high;no
chetyre;anim;1851;XIX;no;no;high;no
chetyre;anim;1841;XIX;no;no;high;no
chetyre;anim;1835;XIX;yes_inanim;no;medium;yes
chetyre;anim;1822;XIX;yes_anim;no;high;no
chetyre;anim;1793;XVIII;no;no;high;no
chetyre;anim;1788;XVIII;no;no;high;no
chetyre;anim;1768;XVIII;no;no;high;no
oba;anim;1996;XX;no;no;high;no
oba;anim;1901;XX;no;no;high;no
oba;anim;2004;XXI;no;no;high;no
oba;anim;1994;XX;yes_anim;no;high;no
oba;anim;1989;XX;no;no;high;no
oba;anim;1977;XX;no;no;high;no
oba;anim;1977;XX;no;no;high;no
oba;anim;1977;XX;no;no;high;no
oba;anim;1969;XX;no;no;high;no
oba;anim;1958;XX;no;no;high;no
oba;anim;1951;XX;no;no;high;no
oba;anim;1951;XX;no;no;high;no
oba;anim;1948;XX;no;no;high;no
oba;anim;1940;XX;no;no;high;no
oba;anim;1928;XX;no;no;high;no
oba;anim;1928;XX;no;no;high;no
oba;anim;1909;XX;no;no;high;no
oba;anim;1897;XIX;no;no;high;no
oba;anim;1793;XVIII;no;no;high;no
