FormTranslit;LemmaTranslit;MoodTense;Trans;Voice;VoicePartcp;Person;Number;Gender;Long;AspPair;Aspect;Mood;Tense
otkryl;otkryt';indicpast;tran;act;;;sg;m;;;p;indic;past
podnjat;podnjat';indicpast;tran;pass;pass;;sg;m;short;;p;indic;past
zazhzhjon;zazhech';indicpast;tran;pass;pass;;sg;m;short;;p;indic;past
privetstvovali;privetstvovat';indicpast;tran;act;;;pl;;;;i;indic;past
podcherknuli;podcherknut';indicpast;tran;act;;;pl;;;;p;indic;past
predstavljajut;predstavljat';indicnonpast;tran;act;;3p;pl;;;;i;indic;nonpast
derzajuschiy;derzat';partcpnonpast;intr;act;act;;sg;m;long;;i;partcp;nonpast
osuschestvljat';osuschestvljat';inf;tran;act;;;;;;;i;inf;
realizovyvat';realizovyvat';inf;tran;act;;;;;;;i;inf;
sostojaschaja;sostojat';partcpnonpast;intr;act;act;;sg;f;long;;i;partcp;nonpast
rasschityvaet;rasschityvat';indicnonpast;intr;act;;3p;sg;;;;i;indic;nonpast
voyti;voyti;inf;intr;act;;;;;;;p;inf;
zavoevav;zavoevat';gerpast;tran;act;;;;;;;p;ger;past
byli;byt';indicpast;intr;act;;;pl;;;;i;indic;past
njos;nesti;indicpast;tran;act;;;sg;m;;;i;indic;past
ukhodit;ukhodit';indicnonpast;intr;act;;3p;sg;;;;i;indic;nonpast
podal;podat';indicpast;tran;act;;;sg;m;;;p;indic;past
prokhodjaschem;prokhodit';partcpnonpast;tran;act;act;;sg;m;long;;i;partcp;nonpast
soobschaet;soobschat';indicnonpast;tran;act;;3p;sg;;;;i;indic;nonpast
izdajuschajasja;izdavat'sja;partcpnonpast;intr;med;act;;sg;f;long;;i;partcp;nonpast
ssylajas';ssylat'sja;gernonpast;intr;med;;;;;;;i;ger;nonpast
ozhidaetsja;ozhidat'sja;indicnonpast;intr;med;;3p;sg;;;;i;indic;nonpast
proizoydjot;proizoyti;indicnonpast;intr;act;;3p;sg;;;;p;indic;nonpast
otmechaet;otmechat';indicnonpast;tran;act;;3p;sg;;;;i;indic;nonpast
zavershjon;zavershit';indicfut;tran;pass;pass;3p;sg;m;short;;p;indic;fut
Otmechaetsja;otmechat'sja;indicnonpast;intr;med;;3p;sg;;;;i;indic;nonpast
otmechaetsja;otmechat'sja;indicnonpast;intr;med;;3p;sg;;;;i;indic;nonpast
preobrazovany;preobrazovat';indicpast;tran;pass;pass;;pl;;short;;p;indic;past
