time1	duration	time2	f2	f1	f3	sound
112.9124	0.039458877556882044	112.9338	1459	442	2083	ъ
113.0735	0.0756040307422694	113.1104	1462	527	1988	а
117.5869	0.09929214106881545	117.6336	1242	727	2202	А
117.7778	0.040200292541442195	117.7971	1405	467	2035	ъ
117.9536	0.030946519756597013	117.9690	1433	458	2174	ъ
118.1056	0.13509508241975254	118.1641	1264	705	2151	А
121.0520	0.09421028081841598	121.0937	1276	713	2219	А
121.2259	0.03523938936154991	121.2428	1457	436	2042	ъ
121.3966	0.05838738188876391	121.4224	1541	448	2229	ъ
121.5796	0.11360570070573317	121.6277	1272	796	2225	А
126.0310	0.09630139853710773	126.0817	1354	762	2203	А
126.2071	0.03669254520502818	126.2247	1537	479	2190	ъ
126.3353	0.04120387252656599	126.3515	1455	473	2026	ъ
126.4868	0.061469262295389626	126.5160	1443	557	2125	а
130.3415	0.10201483801031941	130.3891	1397	720	2234	А
130.5194	0.03038813497130377	130.5339	1524	487	2223	ъ
130.6460	0.0370129924407081	130.6639	1449	439	2040	ъ
130.7864	0.05606994447438751	130.8134	1454	526	2092	а
135.7292	0.06540102871986164	135.7586	1464	575	2273	а
135.8963	0.07195007017597277	135.9271	1373	726	2203	А
136.1154	0.05171854662197006	136.1374	1489	593	2189	а
136.2685	0.10474468220604649	136.3153	1309	656	2174	А
138.9843	0.060639887583619156	139.0132	1394	569	2309	а
139.1697	0.09375848209907645	139.2134	1345	678	2184	А
139.4039	0.049776971948915616	139.4226	1404	679	2164	а
139.5674	0.10265510094566821	139.6150	1378	780	2204	А
153.8927	0.05440748019358921	153.9192	1445	588	2291	а
154.0672	0.09404549186180589	154.1146	1369	630	2167	А
154.2862	0.024778015907514828	154.2949	1525	438	2120	ъ
154.3872	0.062267703728423385	154.4162	1490	577	2192	а
158.1843	0.05867165986882128	158.2101	1398	552	1718	а
158.3472	0.08722665091238468	158.3908	1355	673	2097	А
158.5759	0.024741263581773865	158.5870	1463	415	2136	ъ
158.6749	0.06987193730822128	158.7082	1391	598	2215	а
163.7770	0.10046165997826506	163.8249	1290	712	2276	А
163.9535	0.044751895368875694	163.9791	1483	492	2302	ъ
164.1204	0.10129112065703794	164.1653	1319	764	2200	А
164.2993	0.026003079952999997	164.3110	1489	522	2209	ъ
167.4240	0.10497261629939203	167.4781	1268	668	2250	А
167.5940	0.03966971506056893	167.6165	1550	485	2255	ъ
167.7538	0.09425120948881727	167.8047	1336	708	2213	А
167.9305	0.03877406656144444	167.9487	1404	474	2174	ъ
172.1607	0.01455187459370677	172.1676	1558	365	2302	ъ
172.2594	0.07074562188148548	172.2911	1423	541	2111	а
172.4273	0.08550256192876304	172.4647	1283	580	2364	А
172.6246	0.06332535794075511	172.6542	1438	601	2326	а
175.4573	0.015258291729224993	175.4641	1521	399	2249	ъ
175.5629	0.04741060659796403	175.5855	1448	524	2042	а
175.7132	0.06326399575473829	175.7457	1298	587	2349	А
175.9012	0.051896833545953314	175.9241	1370	571	2286	а
179.7269	0.0933726736851952	179.7759	1305	667	2112	А
179.9084	0.04101590342543204	179.9292	1303	407	2244	ъ
180.0355	0.04380807666370856	180.0565	1270	447	2225	ъ
180.2174	0.10571071411104072	180.2686	1327	706	2340	А
183.3875	0.09151589180629571	183.4303	1302	654	2115	А
183.6086	0.03713413363365703	183.6274	1253	385	2174	ъ
183.7503	0.036061317726932884	183.7660	1311	476	2218	ъ
183.9358	0.10986845330617712	183.9836	1266	690	2238	А
187.4039	0.05268654085716662	187.4281	1321	546	2280	а
187.6068	0.08758880848171202	187.6430	1296	697	2307	А
187.8336	0.0971074576548574	187.8765	1312	755	2186	А
188.0623	0.03078723957639795	188.0757	1361	468	2278	ъ
190.5795	0.06216386719117395	190.6057	1346	529	2271	а
190.7829	0.09045659530170269	190.8254	1289	616	2151	А
191.0038	0.09726785204881594	191.0377	1286	663	2189	А
191.2282	0.03389987617913448	191.2439	1361	449	2183	ъ
