FormTranslit;LemmaTranslit;MoodTense;Trans;Voice;VoicePartcp;Person;Number;Gender;Long;AspPair;Aspect;Mood;Tense
"proissh`edshego;proizoyti;partcppast;intr;act;act;;sg;m;long;;p;partcp;past"
"sost`avila;sostavit';indicpast;tran;act;;;sg;f;;;p;indic;past"
"rasprostran`ila;rasprostranit';indicpast;tran;act;;;sg;f;;;p;indic;past"
"okaz`alas';okazat'sja;indicpast;intr;med;;;sg;f;;;p;indic;past"
"udal`os';udat'sja;indicpast;intr;med;;;sg;n;;;p;indic;past"
"rassmotr`et';rassmotret';inf;tran;act;;;;;;;p;inf;"
"byl;byt';indicpast;intr;act;;;sg;m;;;i;indic;past"
"sklon`jaetsja;sklonjat'sja;indicnonpast;intr;med;;3p;sg;;;;i;indic;nonpast"
"byl;byt';indicpast;intr;act;;;sg;m;;;i;indic;past"
"zajav`il;zajavit';indicpast;tran;act;;;sg;m;;;p;indic;past"
"schit`ajut;schitat';indicnonpast;tran;act;;3p;pl;;;;i;indic;nonpast"
"provod`ila;provodit';indicpast;tran;act;;;sg;f;;;i;indic;past"
"provod`ila;provodit';indicpast;tran;act;;;sg;f;;;i;indic;past"
"skaz`al;skazat';indicpast;tran;act;;;sg;m;;;p;indic;past"
"komment`iruja;kommentirovat';gernonpast;tran;act;;;;;;;i;ger;nonpast"
"byl;byt';indicpast;intr;act;;;sg;m;;;i;indic;past"
"komment`irujut;kommentirovat';indicnonpast;tran;act;;3p;pl;;;;i;indic;nonpast"
"priv`odjat;privodit';indicnonpast;tran;act;;3p;pl;;;;i;indic;nonpast"
"sl`yshali;slyshat';indicpast;tran;act;;;pl;;;;i;indic;past"
"v`ideli;videt';indicpast;tran;act;;;pl;;;;i;indic;past"
"postup`alo;postupat';indicpast;intr;act;;;sg;n;;;i;indic;past"
"peredajot;peredavat';indicnonpast;tran;act;;3p;sg;;;;i;indic;nonpast"
"ssyl`ajas';ssylat'sja;gernonpast;intr;med;;;;;;;i;ger;nonpast"
"proissh`edshee;proizoyti;partcppast;intr;act;act;;sg;n;long;;p;partcp;past"
"mogl`o;moch';indicpast;intr;act;;;sg;n;;;i;indic;past"
"byt';byt';inf;intr;act;;;;;;;i;inf;"
"Obrasch`aetsja;obraschat'sja;indicnonpast;intr;med;;3p;sg;;;;i;indic;nonpast"
"v`idel;videt';indicpast;tran;act;;;sg;m;;;i;indic;past"
"sl`yshal;slyshat';indicpast;tran;act;;;sg;m;;;i;indic;past"
"publikov`ali;publikovat';indicpast;tran;act;;;pl;;;;i;indic;past"
"proissh`edshego;proizoyti;partcppast;intr;act;act;;sg;n;long;;p;partcp;past"
"Predpolag`alos';predpolagat'sja;indicpast;intr;med;;;sg;n;;;i;indic;past"
"mogl`i;moch';indicpast;intr;act;;;pl;;;;i;indic;past"
"proizoyt`i;proizoyti;inf;intr;act;;;;;;;p;inf;"
"Nap`omnim;napomnit';indicnonpast;tran;act;;1p;pl;;;;p;indic;nonpast"
"pojav`ilis';pojavit'sja;indicpast;intr;med;;;pl;;;;p;indic;past"
"proizoshjol;proizoyti;indicpast;intr;act;;;sg;m;;;p;indic;past"
"zafiks`irovan;zafiksirovat';indicpast;tran;pass;pass;;sg;m;short;;p;indic;past"
"soobsch`aet;soobschat';indicnonpast;tran;act;;3p;sg;;;;i;indic;nonpast"
"byl;byt';indicpast;intr;act;;;sg;m;;;i;indic;past"
"pog`ibli;pogibnut';indicpast;intr;act;;;pl;;;;p;indic;past"
"soobsch`aetsja;soobschat'sja;indicnonpast;intr;med;;3p;sg;;;;i;indic;nonpast"
"ustan`ovlena;ustanovit';partcpnonpast;tran;pass;pass;;sg;f;short;;p;partcp;nonpast"
"byl;byt';indicpast;intr;act;;;sg;m;;;i;indic;past"
"otmech`aet;otmechat';indicnonpast;tran;act;;3p;sg;;;;i;indic;nonpast"
"govor`jat;govorit';indicnonpast;tran;act;;3p;pl;;;;i;indic;nonpast"
"provod`ila;provodit';indicpast;tran;act;;;sg;f;;;i;indic;past"
"otm`etil;otmetit';indicpast;tran;act;;;sg;m;;;p;indic;past"
"proizoshjol;proizoyti;indicpast;intr;act;;;sg;m;;;p;indic;past"
"nakh`oditsja;nakhodit'sja;indicnonpast;intr;med;;3p;sg;;;;i;indic;nonpast"
"pyt`ajutsja;pytat'sja;indicnonpast;intr;med;;3p;pl;;;;i;indic;nonpast"
"utochn`it';utochnit';inf;tran;act;;;;;;;p;inf;"
"proissh`edshego;proizoyti;partcppast;intr;act;act;;sg;n;long;;p;partcp;past"
"prev`ysit;prevysit';indicnonpast;tran;act;;3p;sg;;;;p;indic;nonpast"
"razviv`aetsja;razvivat'sja;indicnonpast;intr;med;;3p;sg;;;;i;indic;nonpast"
"p`ishet;pisat';indicnonpast;tran;act;;3p;sg;;;;i;indic;nonpast"
"poydjot;poyti;indicnonpast;intr;act;;3p;sg;;;;p;indic;nonpast"
"dost`ignet;dostignut';indicnonpast;intr;act;;3p;sg;;;;p;indic;nonpast"
"prev`ysit;prevysit';indicnonpast;tran;act;;3p;sg;;;;p;indic;nonpast"
"prevysh`aet;prevyshat';indicnonpast;tran;act;;3p;sg;;;;i;indic;nonpast"
"prevyshaet;prevyshat';indicnonpast;tran;act;;3p;sg;;;;i;indic;nonpast"
"sost`avil;sostavit';indicpast;tran;act;;;sg;m;;;p;indic;past"
"Rast`uschaja;rasti;partcpnonpast;intr;act;act;;sg;f;long;;i;partcp;nonpast"
"nuzhd`aetsja;nuzhdat'sja;indicnonpast;intr;med;;3p;sg;;;;i;indic;nonpast"
"priv`odit;privodit';indicnonpast;tran;act;;3p;sg;;;;i;indic;nonpast"
"podryv`aja;podryvat';gernonpast;tran;act;;;;;;;i;ger;nonpast"
"ssyl`ajas';ssylat'sja;gernonpast;intr;med;;;;;;;i;ger;nonpast"
"sr`avnivaet;sravnivat';indicnonpast;tran;act;;3p;sg;;;;i;indic;nonpast"
"nazv`at';nazvat';inf;tran;act;;;;;;;p;inf;"
"`ischuschey;iskat';partcpnonpast;tran;act;act;;sg;f;long;;i;partcp;nonpast"
"`otn`jali;otnjat';indicpast;tran;act;;;pl;;;;p;indic;past"
"m`ozhet;moch';indicnonpast;intr;act;;3p;sg;;;;i;indic;nonpast"
"stat';stat';inf;intr;act;;;;;;;p;inf;"
"okruzh`it';okruzhit';inf;tran;act;;;;;;;p;inf;"
"podt`alkivajut;podtalkivat';indicnonpast;tran;act;;3p;pl;;;;i;indic;nonpast"
"ugrozh`aet;ugrozhat';indicnonpast;intr;act;;3p;sg;;;;i;indic;nonpast"
"str`oit';stroit';indicfut;tran;act;;3p;sg;;;;i;indic;fut"
"poydjot;poyti;indicnonpast;intr;act;;3p;sg;;;;p;indic;nonpast"
"nazyv`ajutsja;nazyvat'sja;indicnonpast;intr;med;;3p;pl;;;;i;indic;nonpast"
"govor`it;govorit';indicnonpast;tran;act;;3p;sg;;;;i;indic;nonpast"
"byt';byt';inf;intr;act;;;;;;;i;inf;"
"veduscheysja;vestis';partcpnonpast;intr;med;act;;sg;f;long;;i;partcp;nonpast"
"rasc`enivaja;rascenivat';gernonpast;tran;act;;;;;;;i;ger;nonpast"
"realizovyvat';realizovyvat';inf;tran;act;;;;;;;i;inf;"
"m`ozhet;moch';indicnonpast;intr;act;;3p;sg;;;;i;indic;nonpast"
"okaz`at';okazat';inf;tran;act;;;;;;;p;inf;"
"sr`avnivajut;sravnivat';indicnonpast;tran;act;;3p;pl;;;;i;indic;nonpast"
"perest`anet;perestat';indicnonpast;intr;act;;3p;sg;;;;p;indic;nonpast"
"priobret`at';priobretat';inf;tran;act;;;;;;;i;inf;"
"Soedinjonnykh;soedinit';partcppast;tran;;pass;;pl;;long;;p;partcp;past"
"nast`upit;nastupit';indicnonpast;intr;act;;3p;sg;;;;p;indic;nonpast"
"predsk`azyvaet;predskazyvat';indicnonpast;tran;act;;3p;sg;;;;i;indic;nonpast"
"sum`eet;sumet';indicnonpast;intr;act;;3p;sg;;;;p;indic;nonpast"
"v`ysadit';vysadit';inf;tran;act;;;;;;;p;inf;"
"vernjot;vernut';indicnonpast;tran;act;;3p;sg;;;;p;indic;nonpast"
"otrazh`at';otrazhat';indicfut;tran;act;;3p;pl;;;;i;indic;fut"
"m`ozhet;moch';indicnonpast;intr;act;;3p;sg;;;;i;indic;nonpast"
"pomesh`at';pomeshat';inf;tran;act;;;;;;;p;inf;"
"m`ogut;moch';indicnonpast;intr;act;;3p;pl;;;;i;indic;nonpast"
"pojav`it'sja;pojavit'sja;inf;intr;med;;;;;;;p;inf;"
"privedjot;privesti;indicnonpast;tran;act;;3p;sg;;;;p;indic;nonpast"
"obvin`il;obvinit';indicpast;tran;act;;;sg;m;;;p;indic;past"
"obvin`ili;obvinit';indicpast;tran;act;;;pl;;;;p;indic;past"
"spos`obstvujut;sposobstvovat';indicnonpast;intr;act;;3p;pl;;;;i;indic;nonpast"
"vedjot;vesti;indicnonpast;tran;act;;3p;sg;;;;i;indic;nonpast"
"sd`elal;sdelat';indicpast;tran;act;;;sg;m;;;p;indic;past"
"peredajot;peredavat';indicnonpast;tran;act;;3p;sg;;;;i;indic;nonpast"
"predprinim`aet;predprinimat';indicnonpast;tran;act;;3p;sg;;;;i;indic;nonpast"
"protivod`eystvovat';protivodeystvovat';inf;intr;act;;;;;;;i;inf;"
"zajav`il;zajavit';indicpast;tran;act;;;sg;m;;;p;indic;past"
"podcherkn`ul;podcherknut';indicpast;tran;act;;;sg;m;;;p;indic;past"
"sotr`udnichaet;sotrudnichat';indicnonpast;intr;act;;3p;sg;;;;i;indic;nonpast"
"destabiliziruet;destabilizirovat';indicnonpast;tran;act;;3p;sg;;;;i;indic;nonpast"
"obvin`jaet;obvinjat';indicnonpast;tran;act;;3p;sg;;;;i;indic;nonpast"
"zajav`il;zajavit';indicpast;tran;act;;;sg;m;;;p;indic;past"
"nachin`at';nachinat';inf;tran;act;;;;;;;i;inf;"
"ok`azyvaet;okazyvat';indicnonpast;tran;act;;3p;sg;;;;i;indic;nonpast"
"sd`elal;sdelat';indicpast;tran;act;;;sg;m;;;p;indic;past"
"vystup`aja;vystupat';gernonpast;intr;act;;;;;;;i;ger;nonpast"
"zajav`ivshiy;zajavit';partcppast;tran;act;act;;sg;m;long;;p;partcp;past"
"prodolzh`aet;prodolzhat';indicnonpast;tran;act;;3p;sg;;;;i;indic;nonpast"
"podd`erzhivat';podderzhivat';inf;tran;act;;;;;;;i;inf;"
"Nap`omnim;napomnit';indicnonpast;tran;act;;1p;pl;;;;p;indic;nonpast"
"otverg`aet;otvergat';indicnonpast;tran;act;;3p;sg;;;;i;indic;nonpast"
"osuzhd`aet;osuzhdat';indicnonpast;tran;act;;3p;sg;;;;i;indic;nonpast"
"schit`ajut;schitat';indicnonpast;tran;act;;3p;pl;;;;i;indic;nonpast"
"ved`uschie;vesti;partcpnonpast;tran;act;act;;pl;;long;;i;partcp;nonpast"
"otn`osjat;otnosit';indicnonpast;tran;act;;3p;pl;;;;i;indic;nonpast"
"projav`ilas';projavit'sja;indicpast;intr;med;;;sg;f;;;p;indic;past"
"osud`il;osudit';indicpast;tran;act;;;sg;m;;;p;indic;past"
"podtverd`iv;podtverdit';gerpast;tran;act;;;;;;;p;ger;past"
"prodolzh`at';prodolzhat';inf;tran;act;;;;;;;i;inf;"
"zajavl`jaet;zajavljat';indicnonpast;tran;act;;3p;sg;;;;i;indic;nonpast"
"podd`erzhivaet;podderzhivat';indicnonpast;tran;act;;3p;sg;;;;i;indic;nonpast"
"vnesl`a;vnesti;indicpast;tran;act;;;sg;f;;;p;indic;past"
"podd`erzhivajuschikh;podderzhivat';partcpnonpast;tran;act;act;;pl;;long;;i;partcp;nonpast"
"ugrozh`ali;ugrozhat';indicpast;intr;act;;;pl;;;;i;indic;past"
"vvel`i;vvesti;indicpast;tran;act;;;pl;;;;p;indic;past"
"obvin`iv;obvinit';gerpast;tran;act;;;;;;;p;ger;past"
"razrab`otat';razrabotat';inf;tran;act;;;;;;;p;inf;"
"ved`uschikh;vesti;partcpnonpast;tran;act;act;;pl;;long;;i;partcp;nonpast"
"javl`jaetsja;javljat'sja;indicnonpast;intr;med;;3p;sg;;;;i;indic;nonpast"
"dajot;davat';indicnonpast;tran;act;;3p;sg;;;;i;indic;nonpast"
"provod`it';provodit';inf;tran;act;;;;;;;i;inf;"
"st`oit;stoit';indicnonpast;tran;act;;3p;sg;;;;i;indic;nonpast"
"otm`etit';otmetit';inf;tran;act;;;;;;;p;inf;"
"javl`jajutsja;javljat'sja;indicnonpast;intr;med;;3p;pl;;;;i;indic;nonpast"
"prinadlezh`avshie;prinadlezhat';partcppast;intr;act;act;;pl;;long;;i;partcp;past"
"okkup`irovannye;okkupirovat';partcppast;tran;;pass;;pl;;long;;p;partcp;past"
"anneks`irovannye;anneksirovat';partcppast;tran;;pass;;pl;;long;;i;partcp;past"
"pr`iznano;priznat';indicpast;tran;pass;pass;;sg;n;short;;p;indic;past"
"ob''jav`il;ob''javit';indicpast;tran;act;;;sg;m;;;p;indic;past"
"podp`isano;podpisat';indicpast;tran;pass;pass;;sg;n;short;;p;indic;past"
"vyjasn`jali;vyjasnjat';indicpast;tran;act;;;pl;;;;i;indic;past"
"im`eli;imet';indicpast;tran;act;;;pl;;;;i;indic;past"
"st`ali;stat';indicpast;intr;act;;;pl;;;;p;indic;past"
"nos`it';nosit';inf;tran;act;;;;;;;i;inf;"
"predprinim`alis';predprinimat'sja;indicpast;intr;med;;;pl;;;;i;indic;past"
"privel`i;privesti;indicpast;tran;act;;;pl;;;;p;indic;past"
"prerv`al`is';prervat'sja;indicpast;intr;med;;;pl;;;;p;indic;past"
"tr`ebuet;trebovat';indicnonpast;tran;act;;3p;sg;;;;i;indic;nonpast"
"tr`ebuja;trebovat';gernonpast;tran;act;;;;;;;i;ger;nonpast"
"rekomendov`al;rekomendovat';indicpast;tran;act;;;sg;m;;;p;indic;past"
"prodl`it';prodlit';inf;tran;act;;;;;;;p;inf;"
"razmeschen`y;razmestit';indicpast;tran;pass;pass;;pl;;short;;p;indic;past"
"sostavl`jajut;sostavljat';indicnonpast;tran;act;;3p;pl;;;;i;indic;nonpast"
"nakh`odjatsja;nakhodit'sja;indicnonpast;intr;med;;3p;pl;;;;i;indic;nonpast"
"plan`irujut;planirovat';indicnonpast;tran;act;;3p;pl;;;;i;indic;nonpast"
"pered`at';peredat';inf;tran;act;;;;;;;p;inf;"
"opr`oshennykh;oprosit';partcppast;tran;;pass;;pl;;long;;p;partcp;past"
"rassm`atrivajut;rassmatrivat';indicnonpast;tran;act;;3p;pl;;;;i;indic;nonpast"
"utverzhd`ajut;utverzhdat';indicnonpast;intr;act;;3p;pl;;;;i;indic;nonpast"
"interes`uetsja;interesovat'sja;indicnonpast;intr;med;;3p;sg;;;;i;indic;nonpast"
"plan`irujut;planirovat';indicnonpast;tran;act;;3p;pl;;;;i;indic;nonpast"
"poruch`it';poruchit';inf;tran;act;;;;;;;p;inf;"
"provedjonnyy;provesti;partcppast;tran;;pass;;sg;m;long;;p;partcp;past"
"pokaz`al;pokazat';indicpast;tran;act;;;sg;m;;;p;indic;past"
"stan`ovitsja;stanovit'sja;indicnonpast;intr;med;;3p;sg;;;;i;indic;nonpast"
"uch`astvovavshikh;uchastvovat';partcppast;intr;act;act;;pl;;long;;i;partcp;past"
"rassm`atrivaetsja;rassmatrivat'sja;indicnonpast;intr;med;;3p;sg;;;;i;indic;nonpast"
"Podavl`jajuschee;podavljat';partcpnonpast;tran;act;act;;sg;n;long;;i;partcp;nonpast"
"opr`oshennykh;oprosit';partcppast;tran;;pass;;pl;;long;;p;partcp;past"
"zajav`ili;zajavit';indicpast;tran;act;;;pl;;;;p;indic;past"
"vozrast`ut;vozrasti;indicnonpast;intr;act;;3p;pl;;;;p;indic;nonpast"
"plan`irujut;planirovat';indicnonpast;tran;act;;3p;pl;;;;i;indic;nonpast"
"uvel`ichit';uvelichit';inf;tran;act;;;;;;;p;inf;"
"prilag`ajut;prilagat';indicnonpast;tran;act;;3p;pl;;;;i;indic;nonpast"
"spos`obstvovat';sposobstvovat';inf;intr;act;;;;;;;i;inf;"
"idt`i;idti;inf;intr;act;;;;;;;i;inf;"
"adapt`iruja;adaptirovat';gernonpast;tran;act;;;;;;;i;ger;nonpast"
"s`ozdana;sozdat';indicpast;tran;pass;pass;;sg;f;short;;p;indic;past"
"zajav`il;zajavit';indicpast;tran;act;;;sg;m;;;p;indic;past"
"prevraschen`y;prevratit';indicfut;tran;pass;pass;3p;pl;;short;;p;indic;fut"
"pozv`olit;pozvolit';indicnonpast;tran;act;;3p;sg;;;;p;indic;nonpast"
"prevrat`it';prevratit';inf;tran;act;;;;;;;p;inf;"
"nad`eetsja;nadejat'sja;indicnonpast;intr;med;;3p;sg;;;;i;indic;nonpast"
"privl`ech';privlech';inf;tran;act;;;;;;;p;inf;"
"javl`jaemsja;javljat'sja;indicnonpast;intr;med;;1p;pl;;;;i;indic;nonpast"
"oznach`aet;oznachat';indicnonpast;tran;act;;3p;sg;;;;i;indic;nonpast"
"m`ozhem;moch';indicnonpast;intr;act;;1p;pl;;;;i;indic;nonpast"
"prinim`at';prinimat';inf;tran;act;;;;;;;i;inf;"
"nakhod`ja;nakhodit';gernonpast;tran;act;;;;;;;i;ger;nonpast"
"svjaz`at'sja;svjazat'sja;inf;intr;med;;;;;;;p;inf;"
"m`ogut;moch';indicnonpast;intr;act;;3p;pl;;;;i;indic;nonpast"
"skaz`at';skazat';inf;tran;act;;;;;;;p;inf;"
"govor`it;govorit';indicnonpast;tran;act;;3p;sg;;;;i;indic;nonpast"
