FormTranslit;LemmaTranslit;MoodTense;Trans;Voice;VoicePartcp;Person;Number;Gender;Long;AspPair;Aspect;Mood;Tense
"zajavl`jaja;zajavljat';gernonpast;tran;act;;;;;;;i;ger;nonpast"
"im`eet;imet';indicnonpast;tran;act;;3p;sg;;;;i;indic;nonpast"
"byl`a;byt';indicpast;intr;act;;;sg;f;;;i;indic;past"
"oboshl`as';oboytis';indicpast;intr;med;;;sg;f;;;p;indic;past"
"sn`izilas';snizit'sja;indicpast;intr;med;;;sg;f;;;p;indic;past"
"obman`ulo;obmanut';indicpast;tran;act;;;sg;n;;;p;indic;past"
"podtverd`ilis';podtverdit'sja;indicpast;intr;med;;;pl;;;;p;indic;past"
"vvedjonnaja;vvesti;partcppast;tran;;pass;;sg;f;long;;p;partcp;past"
"zajav`il;zajavit';indicpast;tran;act;;;sg;m;;;p;indic;past"
"prosuschestv`uet;prosuschestvovat';indicnonpast;intr;act;;3p;sg;;;;p;indic;nonpast"
"ur`avnivat';uravnivat';inf;tran;act;;;;;;;i;inf;"
"im`eet;imet';indicnonpast;tran;act;;3p;sg;;;;i;indic;nonpast"
"poluch`aet;poluchat';indicnonpast;tran;act;;3p;sg;;;;i;indic;nonpast"
"rassm`atrivajutsja;rassmatrivat'sja;indicnonpast;intr;med;;3p;pl;;;;i;indic;nonpast"
"sost`avit';sostavit';inf;tran;act;;;;;;;p;inf;"
"st`ali;stat';indicpast;intr;act;;;pl;;;;p;indic;past"
"zaregistr`iroval;zaregistrirovat';indicpast;tran;act;;;sg;m;;;p;indic;past"
"nad`ejutsja;nadejat'sja;indicnonpast;intr;med;;3p;pl;;;;i;indic;nonpast"
"st`anet;stat';indicnonpast;intr;act;;3p;sg;;;;p;indic;nonpast"
"ob''edinjonnoy;ob''edinit';partcppast;tran;;pass;;sg;f;long;;p;partcp;past"
"resh`it';reshit';inf;tran;act;;;;;;;p;inf;"
"ud`astsja;udat'sja;indicnonpast;intr;med;;3p;sg;;;;p;indic;nonpast"
"otn`osjatsja;otnosit'sja;indicnonpast;intr;med;;3p;pl;;;;i;indic;nonpast"
"podtolkn`ut';podtolknut';inf;tran;act;;;;;;;p;inf;"
"podderzh`at';podderzhat';inf;tran;act;;;;;;;p;inf;"
"schit`ajut;schitat';indicnonpast;tran;act;;3p;pl;;;;i;indic;nonpast"
"nabr`avshego;nabrat';partcppast;tran;act;act;;sg;n;long;;p;partcp;past"
"ost`anetsja;ostat'sja;indicnonpast;intr;med;;3p;sg;;;;p;indic;nonpast"
"soglas`it'sja;soglasit'sja;inf;intr;med;;;;;;;p;inf;"
"podnjal`o;podnjat';indicpast;tran;act;;;sg;n;;;p;indic;past"
"sostavl`jaet;sostavljat';indicnonpast;tran;act;;3p;sg;;;;i;indic;nonpast"
"schit`alos';schitat'sja;indicpast;intr;med;;;sg;n;;;i;indic;past"
"m`ozhet;moch';indicnonpast;intr;act;;3p;sg;;;;i;indic;nonpast"
"prozh`it';prozhit';inf;tran;act;;;;;;;p;inf;"
"v`ygljadit;vygljadet';indicnonpast;intr;act;;3p;sg;;;;i;indic;nonpast"
"ter`jaet;terjat';indicnonpast;tran;act;;3p;sg;;;;i;indic;nonpast"
"otmech`aet;otmechat';indicnonpast;tran;act;;3p;sg;;;;i;indic;nonpast"
"poluch`aet;poluchat';indicnonpast;tran;act;;3p;sg;;;;i;indic;nonpast"
"utverd`it';utverdit';inf;tran;act;;;;;;;p;inf;"
"otpr`avit';otpravit';inf;tran;act;;;;;;;p;inf;"
"poluch`ilsja;poluchit'sja;indicpast;intr;med;;;sg;m;;;p;indic;past"
"b`udet;byt';indicnonpast;intr;act;;3p;sg;;;;i;indic;nonpast"
"sost`avit;sostavit';indicnonpast;tran;act;;3p;sg;;;;p;indic;nonpast"
"uch`est';uchest';inf;tran;act;;;;;;;p;inf;"
"ozhid`alos';ozhidat'sja;indicpast;intr;med;;;sg;n;;;i;indic;past"
"sm`ozhet;smoch';indicnonpast;intr;act;;3p;sg;;;;p;indic;nonpast"
"v`yplatit';vyplatit';inf;tran;act;;;;;;;p;inf;"
"lezh`it;lezhat';indicnonpast;intr;act;;3p;sg;;;;i;indic;nonpast"
"vozlag`ajutsja;vozlagat'sja;indicnonpast;intr;med;;3p;pl;;;;i;indic;nonpast"
"dajot;davat';indicnonpast;tran;act;;3p;sg;;;;i;indic;nonpast"
"rassch`itany;rasschitat';partcpnonpast;tran;pass;pass;;pl;;short;;p;partcp;nonpast"
"iskhod`ja;iskhodit';gernonpast;intr;act;;;;;;;i;ger;nonpast"
"dokhod`ili;dokhodit';indicpast;intr;act;;;pl;;;;i;indic;past"
"obesp`echeny;obespechit';partcpnonpast;tran;pass;pass;;pl;;short;;p;partcp;nonpast"
"zalozh`ili;zalozhit';indicpast;tran;act;;;pl;;;;p;indic;past"
"v`ypolnit';vypolnit';inf;tran;act;;;;;;;p;inf;"
"zamakhn`ulsja;zamakhnut'sja;indicpast;intr;med;;;sg;m;;;p;indic;past"
"sobir`aetsja;sobirat'sja;indicnonpast;intr;med;;3p;sg;;;;i;indic;nonpast"
"potesn`it';potesnit';inf;tran;act;;;;;;;p;inf;"
"rasprostranjonnye;rasprostranit';partcppast;tran;;pass;;pl;;long;;p;partcp;past"
"predst`avit;predstavit';indicnonpast;tran;act;;3p;sg;;;;p;indic;nonpast"
"predlag`aemykh;predlagat';partcpnonpast;tran;;pass;;pl;;long;;i;partcp;nonpast"
"predst`avjat;predstavit';indicnonpast;tran;act;;3p;pl;;;;p;indic;nonpast"
"udlinjonnym;udlinit';partcppast;tran;;pass;;sg;m;long;;p;partcp;past"
"rassch`ityvat';rasschityvat';inf;intr;act;;;;;;;i;inf;"
"st`oit;stoit';indicnonpast;tran;act;;3p;sg;;;;i;indic;nonpast"
"predpocht`ut;predpochest';indicnonpast;tran;act;;3p;pl;;;;p;indic;nonpast"
"ost`alis';ostat'sja;indicpast;intr;med;;;pl;;;;p;indic;past"
"ss`orjatsja;ssorit'sja;indicnonpast;intr;med;;3p;pl;;;;i;indic;nonpast"
"dogovor`ilis';dogovorit'sja;indicpast;intr;med;;;pl;;;;p;indic;past"
"vstr`etit'sja;vstretit'sja;inf;intr;med;;;;;;;p;inf;"
"predsto`it;predstojat';indicnonpast;intr;act;;3p;sg;;;;i;indic;nonpast"
"nach`alsja;nachat'sja;indicpast;intr;med;;;sg;m;;;p;indic;past"
"potr`eboval;potrebovat';indicpast;tran;act;;;sg;m;;;p;indic;past"
"naschit`ali;naschitat';indicpast;tran;act;;;pl;;;;p;indic;past"
"uvel`ichilas';uvelichit'sja;indicpast;intr;med;;;sg;f;;;p;indic;past"
"poobesch`alo;poobeschat';indicpast;tran;act;;;sg;n;;;p;indic;past"
"obest`ochit';obestochit';inf;tran;act;;;;;;;p;inf;"
"otkljuch`ilo;otkljuchit';indicpast;tran;act;;;sg;n;;;p;indic;past"
"obozv`al;obozvat';indicpast;tran;act;;;sg;m;;;p;indic;past"
"skaz`al;skazat';indicpast;tran;act;;;sg;m;;;p;indic;past"
"zadolzh`alo;zadolzhat';indicpast;tran;act;;;sg;n;;;p;indic;past"
"potr`eboval;potrebovat';indicpast;tran;act;;;sg;m;;;p;indic;past"
"zaplat`it';zaplatit';inf;tran;act;;;;;;;p;inf;"
"startuet;startovat';indicnonpast;intr;act;;3p;sg;;;;i;indic;nonpast"
"s`ozdannaja;sozdat';partcppast;tran;;pass;;sg;f;long;;p;partcp;past"
"b`udet;byt';indicnonpast;intr;act;;3p;sg;;;;i;indic;nonpast"
"predsto`it;predstojat';indicnonpast;intr;act;;3p;sg;;;;i;indic;nonpast"
"v`yvesti;vyvesti;inf;tran;act;;;;;;;p;inf;"
"prinadlezh`at;prinadlezhat';indicnonpast;intr;act;;3p;pl;;;;i;indic;nonpast"
"priobretjot;priobresti;indicnonpast;tran;act;;3p;sg;;;;p;indic;nonpast"
"oboydjotsja;oboytis';indicnonpast;intr;med;;3p;sg;;;;p;indic;nonpast"
"oboydjotsja;oboytis';indicnonpast;intr;med;;3p;sg;;;;p;indic;nonpast"
"v`esit;vesit';indicnonpast;tran;act;;3p;sg;;;;i;indic;nonpast"
"b`udet;byt';indicnonpast;intr;act;;3p;sg;;;;i;indic;nonpast"
"pr`injalo;prinjat';indicpast;tran;act;;;sg;n;;;p;indic;past"
"otmech`at';otmechat';inf;tran;act;;;;;;;i;inf;"
"otmen`it';otmenit';inf;tran;act;;;;;;;p;inf;"
"Plan`iruetsja;planirovat'sja;indicnonpast;intr;med;;3p;sg;;;;i;indic;nonpast"
"provest`i;provesti;inf;tran;act;;;;;;;p;inf;"
"priur`ocheno;priurochit';partcpnonpast;tran;pass;pass;;sg;n;short;;p;partcp;nonpast"
"ost`anetsja;ostat'sja;indicnonpast;intr;med;;3p;sg;;;;p;indic;nonpast"
"b`yli;byt';indicpast;intr;act;;;pl;;;;i;indic;past"
"prokhod`it';prokhodit';inf;tran;act;;;;;;;i;inf;"
"ob''`javlennogo;ob''javit';partcppast;tran;;pass;;sg;m;long;;p;partcp;past"
"govor`jat;govorit';indicnonpast;tran;act;;3p;pl;;;;i;indic;nonpast"
"kh`ochet;khotet';indicnonpast;tran;act;;3p;sg;;;;i;indic;nonpast"
"skryt';skryt';inf;tran;act;;;;;;;p;inf;"
"vspomin`ajut;vspominat';indicnonpast;tran;act;;3p;pl;;;;i;indic;nonpast"
"sokraschen`a;sokratit';indicpast;tran;pass;pass;;sg;f;short;;p;indic;past"
"pol`itoe;polit';partcppast;tran;;pass;;sg;n;long;;p;partcp;past"
"otkr`ylsja;otkryt'sja;indicpast;intr;med;;;sg;m;;;p;indic;past"
"predst`avleny;predstavit';indicfut;tran;pass;pass;3p;pl;;short;;p;indic;fut"
"ob''jasn`ili;ob''jasnit';indicpast;tran;act;;;pl;;;;p;indic;past"
"ob''edin`jat';ob''edinjat';indicfut;tran;act;;3p;pl;;;;i;indic;fut"
"pok`azyvat';pokazyvat';inf;tran;act;;;;;;;i;inf;"
"bor`ot'sja;borot'sja;inf;intr;med;;;;;;;i;inf;"
"risov`at';risovat';indicfut;tran;act;;3p;sg;;;;i;indic;fut"
"ustan`ovit;ustanovit';indicnonpast;tran;act;;3p;sg;;;;p;indic;nonpast"
"sk`inuv;skinut';gerpast;tran;act;;;;;;;p;ger;past"
"perekol`otit;perekolotit';indicnonpast;tran;act;;3p;sg;;;;p;indic;nonpast"
"garant`irovany;garantirovat';partcpnonpast;tran;pass;pass;;pl;;short;;i;partcp;nonpast"
"rekomend`uetsja;rekomendovat'sja;indicnonpast;intr;med;;3p;sg;;;;i;indic;nonpast"
"pochit`at';pochitat';inf;tran;act;;;;;;;p;inf;"
"perep`utat';pereputat';inf;tran;act;;;;;;;p;inf;"
"b`oretsja;borot'sja;indicnonpast;intr;med;;3p;sg;;;;i;indic;nonpast"
"konsolid`iruetsja;konsolidirovat'sja;indicnonpast;intr;med;;3p;sg;;;;p;indic;nonpast"
"zaversh`ilsja;zavershit'sja;indicpast;intr;med;;;sg;m;;;p;indic;past"
"okaz`alis';okazat'sja;indicpast;intr;med;;;pl;;;;p;indic;past"
"voz`ili;vozit';indicpast;tran;act;;;pl;;;;i;indic;past"
"prisovokup`ili;prisovokupit';indicpast;tran;act;;;pl;;;;p;indic;past"
"sd`elal;sdelat';indicpast;tran;act;;;sg;m;;;p;indic;past"
"diskreditirovali;diskreditirovat';indicpast;tran;act;;;pl;;;;i;indic;past"
"otch`ajalsja;otchajat'sja;indicpast;intr;med;;;sg;m;;;p;indic;past"
"predpr`injal;predprinjat';indicpast;tran;act;;;sg;m;;;p;indic;past"
"sorient`irovali;sorientirovat';indicpast;tran;act;;;pl;;;;p;indic;past"
"isp`ytannyy;ispytat';partcppast;tran;;pass;;sg;m;long;;p;partcp;past"
"nachal`as';nachat'sja;indicpast;intr;med;;;sg;f;;;p;indic;past"
"podkrep`ila;podkrepit';indicpast;tran;act;;;sg;f;;;p;indic;past"
"pozv`olil;pozvolit';indicpast;tran;act;;;sg;m;;;p;indic;past"
"rassl`abit'sja;rasslabit'sja;inf;intr;med;;;;;;;p;inf;"
"vstup`ili;vstupit';indicpast;intr;act;;;pl;;;;p;indic;past"
"podd`erzhannye;podderzhat';partcppast;tran;;pass;;pl;;long;;p;partcp;past"
"dr`ognuli;drognut';indicpast;intr;act;;;pl;;;;p;indic;past"
"sokrush`il;sokrushit';indicpast;tran;act;;;sg;m;;;p;indic;past"
"oshtrafovan;oshtrafovat';partcpnonpast;tran;pass;pass;;sg;m;short;;p;partcp;nonpast"
"nap`omnil;napomnit';indicpast;tran;act;;;sg;m;;;p;indic;past"
"oshtrafov`al;oshtrafovat';indicpast;tran;act;;;sg;m;;;p;indic;past"
"vpal;vpast';indicpast;intr;act;;;sg;m;;;p;indic;past"
"provod`il;provodit';indicpast;tran;act;;;sg;m;;;i;indic;past"
"ustup`aet;ustupat';indicnonpast;tran;act;;3p;sg;;;;i;indic;nonpast"
"v`ykljuchil;vykljuchit';indicpast;tran;act;;;sg;m;;;p;indic;past"
"prikaz`al;prikazat';indicpast;tran;act;;;sg;m;;;p;indic;past"
"prekrat`it';prekratit';inf;tran;act;;;;;;;p;inf;"
"nanjos;nanesti;indicpast;tran;act;;;sg;m;;;p;indic;past"
"prishjolsja;priytis';indicpast;intr;med;;;sg;m;;;p;indic;past"
"napr`avil;napravit';indicpast;tran;act;;;sg;m;;;p;indic;past"
"sud`ivshiy;sudit';partcppast;tran;act;act;;sg;m;long;;i;partcp;past"
"shokiroval;shokirovat';indicpast;tran;act;;;sg;m;;;p;indic;past"
"Br`oshennye;brosit';partcppast;tran;;pass;;pl;;long;;p;partcp;past"
"khoch`u;khotet';indicnonpast;tran;act;;1p;sg;;;;i;indic;nonpast"
"v`yrvat';vyrvat';inf;tran;act;;;;;;;p;inf;"
"khoch`u;khotet';indicnonpast;tran;act;;1p;sg;;;;i;indic;nonpast"
"sozhr`at';sozhrat';inf;tran;act;;;;;;;p;inf;"
"oboshl`i;oboyti;indicpast;tran;act;;;pl;;;;p;indic;past"
"Komment`iruja;kommentirovat';gernonpast;tran;act;;;;;;;i;ger;nonpast"
"zajav`il;zajavit';indicpast;tran;act;;;sg;m;;;p;indic;past"
"schit`at'sja;schitat'sja;inf;intr;med;;;;;;;i;inf;"
"prikh`odit;prikhodit';indicnonpast;intr;act;;3p;sg;;;;i;indic;nonpast"
"posmotr`et';posmotret';inf;tran;act;;;;;;;p;inf;"
"nagrazhdjon;nagradit';partcpnonpast;tran;pass;pass;;sg;m;short;;p;partcp;nonpast"
"stal;stat';indicpast;intr;act;;;sg;m;;;p;indic;past"
"prir`avnivajut;priravnivat';indicnonpast;tran;act;;3p;pl;;;;i;indic;nonpast"
"pop`ali;popast';indicpast;intr;act;;;pl;;;;p;indic;past"
"okaz`alsja;okazat'sja;indicpast;intr;med;;;sg;m;;;p;indic;past"
"v`yekhavshiy;vyekhat';partcppast;intr;act;act;;sg;m;long;;p;partcp;past"
"sbezh`al;sbezhat';indicpast;intr;act;;;sg;m;;;p;indic;past"
"pronjossja;pronestis';indicpast;intr;med;;;sg;m;;;p;indic;past"
"podzhid`avshego;podzhidat';partcppast;tran;act;act;;sg;m;long;;i;partcp;past"
"blist`al;blistat';indicpast;intr;act;;;sg;m;;;i;indic;past"
"tancev`al;tancevat';indicpast;tran;act;;;sg;m;;;i;indic;past"
"vozglavl`jal;vozglavljat';indicpast;tran;act;;;sg;m;;;i;indic;past"
"snim`alsja;snimat'sja;indicpast;intr;med;;;sg;m;;;i;indic;past"
"krut`il;krutit';indicpast;tran;act;;;sg;m;;;i;indic;past"
"derzh`al;derzhat';indicpast;tran;act;;;sg;m;;;i;indic;past"
"torgov`al;torgovat';indicpast;tran;act;;;sg;m;;;i;indic;past"
"b`ylo;byt';indicpast;intr;act;;;sg;n;;;i;indic;past"
"Osn`ovannaja;osnovat';partcppast;tran;;pass;;sg;f;long;;p;partcp;past"
"eksperiment`iruet;eksperimentirovat';indicnonpast;intr;act;;3p;sg;;;;i;indic;nonpast"
"priobsch`aja;priobschat';gernonpast;tran;act;;;;;;;i;ger;nonpast"
"nazyv`at';nazyvat';inf;tran;act;;;;;;;i;inf;"
"zamen`il;zamenit';indicpast;tran;act;;;sg;m;;;p;indic;past"
"startoval;startovat';indicpast;intr;act;;;sg;m;;;i;indic;past"
"nazyv`ajut;nazyvat';indicnonpast;tran;act;;3p;pl;;;;i;indic;nonpast"
"oboshjol;oboyti;indicpast;tran;act;;;sg;m;;;p;indic;past"
"zarab`otal;zarabotat';indicpast;tran;act;;;sg;m;;;p;indic;past"
"v`yigral;vyigrat';indicpast;tran;act;;;sg;m;;;p;indic;past"
"voyd`ja;voyti;gerpast;intr;act;;;;;;;p;ger;past"
"mog;moch';indicpast;intr;act;;;sg;m;;;i;indic;past"
"pobed`it';pobedit';inf;tran;act;;;;;;;p;inf;"
"prokhod`ili;prokhodit';indicpast;tran;act;;;pl;;;;i;indic;past"
"prov`oditsja;provodit'sja;indicnonpast;intr;med;;3p;sg;;;;i;indic;nonpast"
"ustup`il;ustupit';indicpast;tran;act;;;sg;m;;;p;indic;past"
"b`udet;byt';indicnonpast;intr;act;;3p;sg;;;;i;indic;nonpast"
"proizoyd`ut;proizoyti;indicnonpast;intr;act;;3p;pl;;;;p;indic;nonpast"
"obesp`echil;obespechit';indicpast;tran;act;;;sg;m;;;p;indic;past"
"mecht`al;mechtat';indicpast;intr;act;;;sg;m;;;i;indic;past"
"prob`it'sja;probit'sja;inf;intr;med;;;;;;;p;inf;"
"v`ystavlena;vystavit';partcpnonpast;tran;pass;pass;;sg;f;short;;p;partcp;nonpast"
"nazyv`aemyy;nazyvat';partcpnonpast;tran;;pass;;sg;m;long;;i;partcp;nonpast"
"v`ypustil;vypustit';indicpast;tran;act;;;sg;m;;;p;indic;past"
"sokhran`ilos';sokhranit'sja;indicpast;intr;med;;;sg;n;;;p;indic;past"
"nakh`odjatsja;nakhodit'sja;indicnonpast;intr;med;;3p;pl;;;;i;indic;nonpast"
"v`ystavlena;vystavit';indicfut;tran;pass;pass;3p;sg;f;short;;p;indic;fut"
"m`ozhet;moch';indicnonpast;intr;act;;3p;sg;;;;i;indic;nonpast"
"nabr`at';nabrat';inf;tran;act;;;;;;;p;inf;"
"ravn`jalsja;ravnjat'sja;indicpast;intr;med;;;sg;m;;;i;indic;past"
"pr`odan;prodat';indicpast;tran;pass;pass;;sg;m;short;;p;indic;past"
"nazyv`at';nazyvat';inf;tran;act;;;;;;;i;inf;"
"poluch`ila;poluchit';indicpast;tran;act;;;sg;f;;;p;indic;past"
"sosto`jaschego;sostojat';partcpnonpast;intr;act;act;;sg;m;long;;i;partcp;nonpast"
"n`achali;nachat';indicpast;tran;act;;;pl;;;;p;indic;past"
"vypusk`at';vypuskat';inf;tran;act;;;;;;;i;inf;"
"izmen`ilsja;izmenit'sja;indicpast;intr;med;;;sg;m;;;p;indic;past"
"sd`elannykh;sdelat';partcppast;tran;;pass;;pl;;long;;p;partcp;past"
"izobrazhen`a;izobrazit';partcpnonpast;tran;pass;pass;;sg;f;short;;p;partcp;nonpast"
"par`jaschiy;parit';partcpnonpast;intr;act;act;;sg;m;long;;i;partcp;nonpast"
"voshl`i;voyti;indicpast;intr;act;;;pl;;;;p;indic;past"
"bor`ovshegosja;borot'sja;partcppast;intr;med;act;;sg;m;long;;i;partcp;past"
"perepl`avleny;pereplavit';indicpast;tran;pass;pass;;pl;;short;;p;indic;past"
"p`ered`al;peredat';indicpast;tran;act;;;sg;m;;;p;indic;past"
"ukr`adeny;ukrast';indicpast;tran;pass;pass;;pl;;short;;p;indic;past"
"pereprodav`alis';pereprodavat'sja;indicpast;intr;med;;;pl;;;;i;indic;past"
"sum`el;sumet';indicpast;intr;act;;;sg;m;;;p;indic;past"
"obnar`uzhit';obnaruzhit';inf;tran;act;;;;;;;p;inf;"
"vern`ut';vernut';inf;tran;act;;;;;;;p;inf;"
"perepl`avili;pereplavit';indicpast;tran;act;;;pl;;;;p;indic;past"
"v`ystavlena;vystavit';indicfut;tran;pass;pass;3p;sg;f;short;;p;indic;fut"
"razvor`achivalas';razvorachivat'sja;indicpast;intr;med;;;sg;f;;;i;indic;past"
"ponim`avshego;ponimat';partcppast;tran;act;act;;sg;m;long;;i;partcp;past"
"pr`odana;prodat';indicpast;tran;pass;pass;;sg;f;short;;p;indic;past"
"isch`ezla;ischeznut';indicpast;intr;act;;;sg;f;;;p;indic;past"
"pojav`ilas';pojavit'sja;indicpast;intr;med;;;sg;f;;;p;indic;past"
"obrat`ilsja;obratit'sja;indicpast;intr;med;;;sg;m;;;p;indic;past"
"prod`at';prodat';inf;tran;act;;;;;;;p;inf;"
"konfiskov`ali;konfiskovat';indicpast;tran;act;;;pl;;;;p;indic;past"
"pered`ali;peredat';indicpast;tran;act;;;pl;;;;p;indic;past"
"nakhod`ilas';nakhodit'sja;indicpast;intr;med;;;sg;f;;;i;indic;past"
"dost`avili;dostavit';indicpast;tran;act;;;pl;;;;p;indic;past"
"sluch`aetsja;sluchat'sja;indicnonpast;intr;med;;3p;sg;;;;i;indic;nonpast"
"nakh`odjatsja;nakhodit'sja;indicnonpast;intr;med;;3p;pl;;;;i;indic;nonpast"
"zada`jutsja;zadavat'sja;indicnonpast;intr;med;;3p;pl;;;;i;indic;nonpast"
"d`elat';delat';inf;tran;act;;;;;;;i;inf;"
"otvech`aet;otvechat';indicnonpast;intr;act;;3p;sg;;;;i;indic;nonpast"
"porozhdjonnoy;porodit';partcppast;tran;;pass;;sg;f;long;;p;partcp;past"
"sokhran`javshiysja;sokhranjat'sja;partcppast;intr;med;act;;sg;m;long;;i;partcp;past"
"byl;byt';indicpast;intr;act;;;sg;m;;;i;indic;past"
"prip`omnish';pripomnit';indicnonpast;tran;act;;2p;sg;;;;p;indic;nonpast"
"sotvorjonnaja;sotvorit';partcppast;tran;;pass;;sg;f;long;;p;partcp;past"
"nak`azyvali;nakazyvat';indicpast;tran;act;;;pl;;;;i;indic;past"
"zh`ivshemu;zhit';partcppast;intr;act;act;;sg;m;long;;i;partcp;past"
"predpol`ozhim;predpolozhit';indicnonpast;tran;act;;1p;pl;;;;p;indic;nonpast"
"ugrozh`alo;ugrozhat';indicpast;intr;act;;;sg;n;;;i;indic;past"
"schit`at';schitat';inf;tran;act;;;;;;;i;inf;"
"svod`ila;svodit';indicpast;tran;act;;;sg;f;;;i;indic;past"
"strem`jas';stremit'sja;gernonpast;intr;med;;;;;;;i;ger;nonpast"
"prokorm`it'sja;prokormit'sja;inf;intr;med;;;;;;;p;inf;"
"sogr`et'sja;sogret'sja;inf;intr;med;;;;;;;p;inf;"
"s`ozdal;sozdat';indicpast;tran;act;;;sg;m;;;p;indic;past"
"mog;moch';indicpast;intr;act;;;sg;m;;;i;indic;past"
"podozrev`at';podozrevat';inf;tran;act;;;;;;;i;inf;"
"sd`elan;sdelat';partcpnonpast;tran;pass;pass;;sg;m;short;;p;partcp;nonpast"
"zad`avlennom;zadavit';partcppast;tran;;pass;;sg;m;long;;p;partcp;past"
"uv`idel;uvidet';indicpast;tran;act;;;sg;m;;;p;indic;past"
"vzbes`ivsheysja;vzbesit'sja;partcppast;intr;med;act;;sg;f;long;;p;partcp;past"
"nach`alsja;nachat'sja;indicpast;intr;med;;;sg;m;;;p;indic;past"
"okaz`alis';okazat'sja;indicpast;intr;med;;;pl;;;;p;indic;past"
"ch`uditsja;chudit'sja;indicnonpast;intr;med;;3p;sg;;;;i;indic;nonpast"
"predusmotr`et';predusmotret';inf;tran;act;;;;;;;p;inf;"
"predotvrat`it';predotvratit';inf;tran;act;;;;;;;p;inf;"
"byl;byt';indicpast;intr;act;;;sg;m;;;i;indic;past"
"khalt`urili;khalturit';indicpast;intr;act;;;pl;;;;i;indic;past"
"rab`otali;rabotat';indicpast;intr;act;;;pl;;;;i;indic;past"
"prover`jali;proverjat';indicpast;tran;act;;;pl;;;;i;indic;past"
"sl`eduet;sledovat';indicnonpast;intr;act;;3p;sg;;;;i;indic;nonpast"
"pusk`ali;puskat';indicpast;tran;act;;;pl;;;;i;indic;past"
"projavl`jaetsja;projavljat'sja;indicnonpast;intr;med;;3p;sg;;;;i;indic;nonpast"
"pereoc`enivat';pereocenivat';inf;tran;act;;;;;;;i;inf;"
"m`ozhem;moch';indicnonpast;intr;act;;1p;pl;;;;i;indic;nonpast"
"sd`elat';sdelat';inf;tran;act;;;;;;;p;inf;"
"m`ozhem;moch';indicnonpast;intr;act;;1p;pl;;;;i;indic;nonpast"
"upravl`jat';upravljat';inf;intr;act;;;;;;;i;inf;"
"vykh`odjat;vykhodit';indicnonpast;intr;act;;3p;pl;;;;i;indic;nonpast"
"ubiv`ajut;ubivat';indicnonpast;tran;act;;3p;pl;;;;i;indic;nonpast"
"prikh`odit;prikhodit';indicnonpast;intr;act;;3p;sg;;;;i;indic;nonpast"
"s`ozdannoe;sozdat';partcppast;tran;;pass;;sg;n;long;;p;partcp;past"
"vyryv`aetsja;vyryvat'sja;indicnonpast;intr;med;;3p;sg;;;;i;indic;nonpast"
"b`ylo;byt';indicpast;intr;act;;;sg;n;;;i;indic;past"
"spravl`jat'sja;spravljat'sja;inf;intr;med;;;;;;;i;inf;"
"b`ylo;byt';indicpast;intr;act;;;sg;n;;;i;indic;past"
"obor`udovannoy;oborudovat';partcppast;tran;;pass;;sg;f;long;;p;partcp;past"
"d`eystvovavshey;deystvovat';partcppast;intr;act;act;;sg;f;long;;i;partcp;past"
"schit`at';schitat';inf;tran;act;;;;;;;p;inf;"
"m`ozhet;moch';indicnonpast;intr;act;;3p;sg;;;;i;indic;nonpast"
"vzjat';vzjat';inf;tran;act;;;;;;;p;inf;"
"utverzhd`at';utverzhdat';inf;intr;act;;;;;;;i;inf;"
"m`ogut;moch';indicnonpast;intr;act;;3p;pl;;;;i;indic;nonpast"
"zhit';zhit';inf;intr;act;;;;;;;i;inf;"
"opredeljonnyy;opredelit';partcppast;tran;;pass;;sg;m;long;;p;partcp;past"
"porazhjon;porazit';indicfut;tran;pass;pass;3p;sg;m;short;;p;indic;fut"
"sostavl`jajuschikh;sostavljat';partcpnonpast;tran;act;act;;pl;;long;;i;partcp;nonpast"
"m`ogut;moch';indicnonpast;intr;act;;3p;pl;;;;i;indic;nonpast"
"sluzh`it';sluzhit';inf;tran;act;;;;;;;i;inf;"
"dok`azyvat';dokazyvat';inf;tran;act;;;;;;;i;inf;"
"dokh`odit;dokhodit';indicnonpast;intr;act;;3p;sg;;;;i;indic;nonpast"
"`ischut;iskat';indicnonpast;tran;act;;3p;pl;;;;i;indic;nonpast"
"nakh`odjatsja;nakhodit'sja;indicnonpast;intr;med;;3p;pl;;;;i;indic;nonpast"
"est';byt';indicnonpast;intr;act;;3p;sg;;;;i;indic;nonpast"
"sv`odit;svodit';indicnonpast;tran;act;;3p;sg;;;;i;indic;nonpast"
"p`ishut;pisat';indicnonpast;tran;act;;3p;pl;;;;i;indic;nonpast"
"napis`at';napisat';inf;tran;act;;;;;;;p;inf;"
"nastup`ila;nastupit';indicpast;intr;act;;;sg;f;;;p;indic;past"
"resh`aetsja;reshat'sja;indicnonpast;intr;med;;3p;sg;;;;i;indic;nonpast"
"skaz`at';skazat';inf;tran;act;;;;;;;p;inf;"
"b`ylo;byt';indicpast;intr;act;;;sg;n;;;i;indic;past"
"`umer;umeret';indicpast;intr;act;;;sg;m;;;p;indic;past"
"zhiv`ut;zhit';indicnonpast;intr;act;;3p;pl;;;;i;indic;nonpast"
"nakh`oditsja;nakhodit'sja;indicnonpast;intr;med;;3p;sg;;;;i;indic;nonpast"
"preodoljonnaja;preodolet';partcppast;tran;;pass;;sg;f;long;;p;partcp;past"
"lech`ili;lechit';indicpast;tran;act;;;pl;;;;i;indic;past"
