genre;register;date_of_creation;head_pos;root;preposition;example;comment
fiction;written;after 1950;N;говор;о/об;разговору о непостыдной смерти
fiction;written;after 1950;N;говор;о/об;там шли разговоры о кибернетике
fiction;written;after 1950;N;говор;о/об;не заводил разговора об этом
fiction;written;after 1950;N;говор;о/об;разговоров о размене квартиры не затевал
fiction;written;after 1950;N;говор;о/об;"в разговорах по душам ""о жизни"""
fiction;written;after 1950;N;говор;о/об;заводил боком-боком разговор о тяготах одиночества
fiction;written;after 1950;N;говор;о/об;разговор о каких-то пустяках
fiction;written;after 1950;N;говор;о/об;Разговоры об умерших знакомых она обычно заканчивала так
fiction;written;after 1950;N;говор;о/об;Разговор, естественно, зашёл о литературе
fiction;written;after 1950;N;говор;о/об;Всё время разговоры об Учредительном собрании
fiction;written;after 1950;N;говор;о/об;но разговоров о ней не избегали
fiction;written;after 1950;N;говор;о/об;опять зашёл разговор о его отсталости
fiction;written;after 1950;N;говор;о/об;Разговоры велись о Пушкине
fiction;written;after 1950;N;говор;о/об;профессиональный разговор о директоре лицея
fiction;written;after 1950;N;говор;о/об;продолжили разговор о яблоках
fiction;written;after 1950;N;говор;о/об;начинает разговор с Богом о своём скором взлёте
fiction;written;after 1950;N;говор;про;незначительный разговор про яблоки, музей
fiction;written;after 1950;N;говор;о/об;господские разговоры о высшем свете
fiction;written;after 1950;N;говор;о/об;длинные разговоры о серьёзных вещах
fiction;written;after 1950;N;говор;о/об;начались разговоры о фискалах
fiction;written;after 1950;N;говор;о/об;Разговоры о пытках
fiction;written;after 1950;N;говор;о/об;Начните разговор сами и о политике
fiction;written;after 1950;N;говор;о/об;завести с ним разговор о матче «Спартак» ? «Динамо»
fiction;written;after 1950;N;говор;о/об;сколько же всяких разговоров о склоках
fiction;written;after 1950;N;говор;о/об;зашёл разговор и о ней
fiction;written;after 1950;N;говор;о/об;Разговоры о живописи
fiction;written;after 1950;N;говор;о/об;ты помнишь наш разговор о должке
fiction;written;after 1950;N;говор;о/об;переход к разговору о жалобах на него
fiction;written;after 1950;N;говор;о/об;Он вспомнил разговор о том, что река Или очень коварная, нехорошая река
fiction;written;after 1950;N;говор;о/об;в телефонном разговоре об этой мелочи
fiction;written;after 1950;N;говор;о/об;все или почти все её разговоры о науке
nonfiction;written;after 1950;V;говор;про;Он про ТК говорил, а не про людей
nonfiction;written;after 1950;V;говор;о/об;Я не говорю о военной
nonfiction;written;after 1950;V;говор;о/об;Если Лафет говорит о эффективности
nonfiction;written;after 1950;V;говор;о/об;С точки зрения организации это говорит о том, что Вы пытаетесь контролировать
nonfiction;written;after 1950;V;говор;о/об;Не буду говорить об остальных актерах
nonfiction;written;after 1950;V;говор;о/об;Я не говорю о смерти физической
nonfiction;written;after 1950;V;говор;о/об;В общем, говорить об этом фильме можно очень много
nonfiction;written;after 1950;V;говор;о/об;не говоря уже о благодатной почве для создания баек и анекдотов
nonfiction;written;after 1950;V;говор;про;ничего не хочу говорить про третью
nonfiction;written;after 1950;V;говор;о/об;Ну и, наверное, не нужно говорить о том, на каком качественном уровне сделаны оба хода
nonfiction;written;after 1950;V;говор;о/об;Не хочу говорить о том, что вот тогда снимать умели
nonfiction;written;after 1950;V;говор;про;Ну, что я в конце концов говорю вам про Басилашвили
nonfiction;written;after 1950;V;говор;о/об;Я тоже говорила о кратком D
nonfiction;written;after 1950;V;говор;о/об;но не говори о том что это сделал я
nonfiction;written;after 1950;V;говор;про;не говоря уж про зачёты, там цифра близка к 100%
nonfiction;written;after 1950;V;говор;о/об;Не говоря о технических возможностях носителей информации
nonfiction;written;after 1950;V;говор;о/об;можно говорить о коэффициенте k дост доступности сегмента БД
nonfiction;written;after 1950;V;говор;о/об;что позволяет говорить о таких применениях её системы
nonfiction;written;after 1950;V;говор;о/об;они уже не говорят о ёмкостиканалов
nonfiction;written;after 1950;V;говор;о/об;когда я, вся в слезах, начала говорить о том, что я тоже хочу
nonfiction;written;after 1950;V;говор;о/об;Когда любят, говорят об этом сами
nonfiction;written;after 1950;V;говор;о/об;даёт основание говорить ещё об одном типе светского государства
nonfiction;written;after 1950;V;говор;о/об;применение религиоведческих познаний (не говоря уже о теологических)
nonfiction;written;after 1950;V;говор;о/об;обращаясь к церковной аудитории, говорит об этом прямо
nonfiction;written;after 1950;V;говор;о/об;Говоря о сотрудничестве КТК с международными региональными организациями и структурами
nonfiction;written;after 1950;V;говор;о/об;Если говорить о российском рынке многофункциональных устройств,
nonfiction;written;after 1950;V;говор;о/об;мы будем говорить как раз о тех произведениях, в отношении которых замечательная
nonfiction;written;after 1950;V;говор;о/об;Мы будем говорить о системе, автоматизирующей написание сценариев
nonfiction;written;after 1950;V;говор;о/об;можно было бы говорить уже не об автоматизации
nonfiction;written;after 1950;V;говор;о/об;И, конечно, мы более подробно поговорим о ситуации в Средней Азии
nonfiction;written;after 1950;V;говор;о/об;В том числе будем говорить и о развитии нашего взаимодействия в сфере экономики
nonfiction;written;after 1950;V;говор;о/об;Мы подробно говорили о наших совместных шагах по нейтрализации таких угроз
nonfiction;written;after 1950;V;говор;о/об;Мы все будем говорить о том, как помочь руководству Афганистана
nonfiction;written;after 1950;V;говор;о/об;Мы говорили также о том, как это сделать
nonfiction;written;after 1950;V;говор;о/об;говорили о совершенствовании механизмов
nonfiction;written;after 1950;V;говор;о/об;Разумеется, уделили значительное внимание ситуации в Ираке, говорили и о перспективах принятия резолюции
nonfiction;written;after 1950;V;говор;о/об;Я не говорю об уже возможных и запланированных поставках сжиженного газа
nonfiction;written;after 1950;V;говор;о/об;Если мы говорим о восстановлении демократии в этой стране
nonfiction;written;after 1950;V;говор;о/об;Данные нашего исследования говорят о том же: молодые люди
nonfiction;written;after 1950;V;говор;о/об;Все они говорили о растущем год от года потоке выпускников
nonfiction;written;after 1950;V;говор;о/об;Однако сейчас уже необходимо говорить о трех поколениях
nonfiction;written;after 1950;V;говор;о/об;можно говорить об окончательном открытии чёрной дыры
nonfiction;written;after 1950;V;говор;о/об;говорил о возможности адвоката заключать
nonfiction;written;after 1950;V;говор;о/об;мало что говорящего о душе отдельно взятого конкретногочеловека
nonfiction;written;after 1950;V;говор;о/об;"Не говоря уже о ""райском эпизоде"" в ""Малыше"", где Чарли"
nonfiction;written;after 1950;V;говор;о/об;сегодня можно говорить об этих системах как о хорошей базе
nonfiction;written;after 1950;V;говор;о/об;Уже не говоря об эпистемологии
nonfiction;written;after 1950;V;говор;о/об;Не будем говорить о достоинствах этого продукта
nonfiction;written;after 1950;V;говор;о/об;Говоря о роли ЛПХ в адаптации населения г. Таганрога
nonfiction;written;after 1950;V;говор;о/об;Если говорить о семьях и их структуре
nonfiction;written;after 1950;N;говор;о/об;с романтическими разговорами о новой помаде
nonfiction;written;after 1950;N;говор;о/об;сначала разговоры о работе, автомобилях
nonfiction;written;after 1950;N;говор;о/об;Итак, ссора началась с разговора о семье
nonfiction;written;after 1950;N;говор;о/об;состоялся серьёзный разговор о проблемах
nonfiction;written;after 1950;N;говор;о/об;надо вести разговор о сектанстве
nonfiction;written;after 1950;N;говор;о/об;Тут, как мне кажется, разговор не столько об образовании
nonfiction;written;after 1950;N;говор;о/об;вы должны вести разговоры о вреде курения
nonfiction;written;after 1950;N;говор;о/об;Все разговоры только о мобильнике
nonfiction;written;after 1950;N;говор;о/об;свои интересы, и разговоры об этом
nonfiction;written;after 1950;N;говор;о/об;новым словом в разговоре о подобных проблемах
nonfiction;written;after 1950;N;говор;о/об;Состоялся заинтересованный разговор о позитивном влиянии
nonfiction;written;after 1950;N;говор;о/об;И к этому мы вернёмся в разговоре о модернизации
nonfiction;written;after 1950;N;говор;о/об;Мы продолжаем разговор об изготовлении гуслей звончатых
nonfiction;written;after 1950;N;говор;о/об;Когда-то шёл разговор об урало-алтайской семье
nonfiction;written;after 1950;N;говор;о/об;Все разговоры о том, что там есть лишние деньги, это не совсем так
nonfiction;written;after 1950;N;говор;о/об;немало было разговоров о том, что пенсионная система
nonfiction;written;after 1950;N;говор;о/об;Так что пока все разговоры о повышении зарплаты
nonfiction;written;after 1950;N;говор;о/об;уже не до разговоров на кухне о судьбах русской интеллигенции
nonfiction;written;after 1950;N;говор;о/об;всё ещё актуальным разговором о проблемах построения
nonfiction;written;after 1950;N;говор;о/об;не веди разговоров, кроме как о погоде
nonfiction;written;after 1950;N;говор;о/об;Разговора о его здоровье не поднимали
nonfiction;written;after 1950;N;говор;о/об;к разговору о самом главном
nonfiction;written;after 1950;N;говор;о/об;К разговору о Гумилеве он возвращался на протяжении жизни десятки раз
nonfiction;written;after 1950;N;говор;о/об;Разговоры об этой линии шли давно
nonfiction;written;after 1950;N;говор;о/об;вели разговор о задачах и перспективах
