position;Title;meaning;Publ_year
725;А. Ф. Писемский. В водовороте (1871) ;0;1871
726;М. Е. Салтыков-Щедрин. История одного города (1869-1870) ;0;1869
727;Г. И. Успенский. Тише воды, ниже травы / Из цикла «Разоренье» (1870) ;0;1870
728;И. А. Гончаров. Обрыв (1869) ;0;1869
729;И. А. Гончаров. Обрыв (1869) ;0;1869
730;И. А. Гончаров. Обрыв (1869) ;0;1869
731;И. А. Гончаров. Обрыв (1869) ;0;1869
732;Ф. М. Достоевский. Идиот (1869) ;0;1869
733;Ф. М. Достоевский. Идиот (1869) ;1;1869
734;Ф. М. Достоевский. Идиот (1869) ;0;1869
735;В. В. Крестовский. Панургово стадо (Ч. 1-2) (1869) ;2;1869
736;В. В. Крестовский. Панургово стадо (Ч. 1-2) (1869) ;0;1869
737;В. В. Крестовский. Панургово стадо (Ч. 1-2) (1869) ;0;1869
738;В. В. Крестовский. Панургово стадо (Ч. 1-2) (1869) ;0;1869
739;А. Ф. Писемский. Люди сороковых годов (1869) ;2;1869
740;А. Ф. Писемский. Люди сороковых годов (1869) ;0;1869
741;Л. Н. Толстой. Война и мир. Том первый (1867-1869) ;0;1867
742;Ф. М. Решетников. Тетушка Опарина (1868) ;0;1868
743;Г. И. Успенский. Мелочи (1868) ;1;1868
744;В. В. Крестовский. Петербургские трущобы. Книга о сытых и голодных. Ч. 5 (1867) ;0;1867
745;В. В. Крестовский. Петербургские трущобы. Книга о сытых и голодных. Ч. 5 (1867) ;2;1867
746;В. В. Крестовский. Петербургские трущобы. Книга о сытых и голодных. Ч. 6 (1867) ;0;1867
747;В. В. Крестовский. Петербургские трущобы. Книга о сытых и голодных. Ч. 6 (1867) ;0;1867
748;В. В. Крестовский. Петербургские трущобы. Книга о сытых и голодных. Ч. 6 (1867) ;0;1867
749;Ф. М. Достоевский. Преступление и наказание (1866) ;0;1866
750;М. Е. Салтыков-Щедрин. Тихое пристанище (1857-1865) ;2;1857
751;В. В. Крестовский. Петербургские трущобы. Книга о сытых и голодных. Ч. 4 (1864) ;2;1864
752;В. В. Крестовский. Петербургские трущобы. Книга о сытых и голодных. Ч. 4 (1864) ;2;1864
753;В. В. Крестовский. Петербургские трущобы. Книга о сытых и голодных. Ч. 4 (1864) ;0;1864
754;В. В. Крестовский. Петербургские трущобы. Книга о сытых и голодных. Ч. 4 (1864) ;2;1864
755;В. В. Крестовский. Петербургские трущобы. Книга о сытых и голодных. Ч. 4 (1864) ;0;1864
756;В. В. Крестовский. Петербургские трущобы. Книга о сытых и голодных. Ч. 4 (1864) ;0;1864
757;В. В. Крестовский. Петербургские трущобы. Книга о сытых и голодных. Части 1-3 (1864) ;0;1864
758;В. В. Крестовский. Петербургские трущобы. Книга о сытых и голодных. Части 1-3 (1864) ;0;1864
759;И. И. Лажечников. Несколько заметок и воспоминаний по поводу статьи «Материалы для биографии А. П. Ермолова» (1864) ;0;1864
760;Ф. М. Решетников. Между людьми (1864) ;2;1864
761;Ф. М. Решетников. Между людьми (1864) ;0;1864
762;Ф. М. Решетников. Подлиповцы (1864) ;0;1864
763;Г. П. Данилевский. Воля (1863) ;0;1863
764;Г. П. Данилевский. Воля (1863) ;0;1863
765;Ф. М. Достоевский. Зимние заметки о летних впечатлениях (1863) ;0;1863
766;М. Е. Салтыков-Щедрин. Невинные рассказы / Запутанное дело (1848-1863) ;0;1848
767;А. К. Толстой. Князь Серебряный (1861-1863) ;0;1861
768;Л. Н. Толстой. Казаки (1863) ;0;1863
769;Г. П. Данилевский. Беглые в Новороссии (1862) ;0;1862
770;Ф. М. Достоевский. Записки из Мертвого дома (1862) ;0;1862
771;Ф. М. Достоевский. Записки из Мертвого дома (1862) ;0;1862
772;А. И. Левитов. Погибшее, но милое создание (1862) ;1;1862
773;Н. Г. Помяловский. Очерки бурсы (1862) ;0;1862
774;Н. Г. Помяловский. Очерки бурсы (1862) ;0;1862
775;М. Ф. Каменская. Знакомые. Воспоминания былого (1861) ;1;1861
776;А. Ф. Писемский. Старческий грех (1861) ;0;1861
777;А. В. Сухово-Кобылин. Дело (1861) ;2;1861
778;И. С. Тургенев. Первая любовь (1860) ;0;1860
779;И. А. Гончаров. Обломов (1859) ;0;1859
780;И. А. Гончаров. Обломов (1859) ;0;1859
781;И. А. Гончаров. Обломов (1859) ;0;1859
782;И. А. Гончаров. Обломов (1859) ;2;1859
783;И. А. Гончаров. Обломов (1859) ;0;1859
784;И. А. Гончаров. Обломов (1859) ;2;1859
785;Н. А. Добролюбов. Темное царство (1859) ;0;1859
786;Н. А. Добролюбов. Что такое обломовщина? (1859) ;2;1859
787;Л. П. Стороженко. Воспоминание (1859) ;0;1859
788;Н. В. Успенский. Ночь под светлый день (1859) ;2;1859
789;А. Ф. Писемский. Тысяча душ (1858) ;0;1858
790;А. Ф. Писемский. Тысяча душ (1858) ;0;1858
791;А. Ф. Писемский. Тысяча душ (1858) ;0;1858
792;Т. Г. Шевченко. Прогулка с удовольствием и не без морали (1855-1858) ;0;1855
793;В. И. Даль. Хлебное дельце (1857) ;0;1857
794;П. А. Кулиш. Черная рада (1846-1857) ;0;1846
795;И. И. Панаев. Опыт о хлыщах (1854-1857) ;0;1854
796;М. Е. Салтыков-Щедрин. Губернские очерки (1856-1857) ;0;1856
797;М. Е. Салтыков-Щедрин. Губернские очерки (1856-1857) ;0;1856
798;М. Е. Салтыков-Щедрин. Губернские очерки (1856-1857) ;2;1856
799;С. Т. Аксаков. Семейная хроника (1856) ;2;1856
800;Д. В. Григорович. Переселенцы (1855-1856) ;0;1855
801;Д. В. Григорович. Переселенцы (1855-1856) ;2;1855
802;Д. В. Григорович. Переселенцы (1855-1856) ;0;1855
803;Д. В. Григорович. Переселенцы (1855-1856) ;0;1855
804;И. И. Лажечников. Беленькие, черненькие и серенькие (1856) ;0;1856
805;И. А. Гончаров. Фрегат «Паллада» (1855) ;0;1855
806;Т. Г. Шевченко. Близнецы (1855) ;2;1855
807;Е. П. Ростопчина. Палаццо Форли (1854) ;2;1854
808;А. Ф. Писемский. Леший (1853) ;0;1853
809;К. А. Скачков. Мой дневник (1853) ;0;1853
810;В. А. Вонлярлярский. Большая барыня (1852) ;0;1852
811;А. Ф. Писемский. Сергей Петрович Хозаров и Мари Ступицына (1851) ;0;1851
812;И. С. Тургенев. Где тонко, там и рвется (1851) ;2;1851
813;Ф. М. Достоевский. Неточка Незванова (1849) ;0;1849
814;И. Т. Кокорев. Самовар (1849) ;0;1849
815;А. Н. Островский. Свои люди ? сочтемся (1849) ;0;1849
816;А. Ф. Вельтман. Приключения, почерпнутые из моря житейского. Саломея (1848) ;2;1848
817;А. Ф. Вельтман. Приключения, почерпнутые из моря житейского. Саломея (1848) ;0;1848
818;Ф. М. Достоевский. Cлабое сердце (1848) ;0;1848
819;И. А. Гончаров. Обыкновенная история (1847) ;0;1847
820;И. А. Гончаров. Обыкновенная история (1847) ;0;1847
821;И. А. Гончаров. Обыкновенная история (1847) ;0;1847
822;А. А. Григорьев. Один из многих (1846) ;0;1846
823;Ф. М. Достоевский. Двойник (1846) ;0;1846
824;Ф. М. Достоевский. Двойник (1846) ;0;1846
825;Ф. М. Достоевский. Двойник (1846) ;0;1846
826;Ф. М. Достоевский. Двойник (1846) ;0;1846
827;Ф. М. Достоевский. Двойник (1846) ;0;1846
828;Н. И. Андреев. Воспоминания офицера 50-го егерского полка (1844) // «Русский архив», 1879 ;0;1844
829;Н. И. Андреев. Из воспоминаний (1844) ;0;1844
830;И. Н. Скобелев. Рассказы русского инвалида (1838-1844) ;0;1838
831;И. Н. Скобелев. Рассказы русского инвалида (1838-1844) ;0;1838
832;А. Ф. Вельтман. Райна, королева болгарская (1843) ;0;1843
833;Н. А. Полевой. Пир Святослава Игоревича, князя киевского (1843) ;0;1843
834;Н. А. Полевой. Пир Святослава Игоревича, князя киевского (1843) ;1;1843
835;Н. В. Гоголь. Мертвые души (1842) ;0;1842
836;Н. В. Гоголь. Мертвые души (1842) ;0;1842
837;Н. В. Гоголь. Повесть о том, как поссорился Иван Иванович с Иваном Никифоровичем (1835-1841) ;0;1835
838;Н. В. Гоголь. Повесть о том, как поссорился Иван Иванович с Иваном Никифоровичем (1835-1841) ;0;1835
839;А. Ф. Вельтман. Радой (1839) ;2;1839
840;Г. Ф. Квитка-Основьяненко. Пан Халявский (1839) ;0;1839
841;Г. Ф. Квитка-Основьяненко. Пан Халявский (1839) ;0;1839
842;И. И. Лажечников. Басурман (1838) ;2;1838
843;А. Ф. Вельтман. Светославич, вражий питомец Диво времен Красного Солнца Владимира (1837) ;0;1837
844;А. А. Бестужев-Марлинский. Мулла-Нур (1836) ;0;1836
845;А. А. Бестужев-Марлинский. Мулла-Нур (1836) ;2;1836
846;Н. В. Гоголь. Ревизор (1836) ;0;1836
847;А. С. Пушкин. Капитанская дочка (1836) ;0;1836
848;А. С. Пушкин. Капитанская дочка (1836) ;1;1836
849;А. С. Пушкин. Капитанская дочка (1836) ;0;1836
850;И. И. Лажечников. Ледяной дом (1835) ;0;1835
851;И. И. Лажечников. Ледяной дом (1835) ;0;1835
852;И. И. Лажечников. Ледяной дом (1835) ;0;1835
853;О. И. Сенковский. Записки домового (1835) ;0;1835
854;О. И. Сенковский. Записки домового (1835) ;0;1835
855;О. И. Сенковский. Записки домового (1835) ;2;1835
856;М. Ю. Лермонтов. Вадим (1833-1834) ;2;1833
857;К. П. Масальский. Регентство Бирона (1834) ;0;1834
858;А. А. Бестужев-Марлинский. Фрегат «Надежда» (1833) ;0;1833
859;И. И. Лажечников. Последний Новик (1833) ;0;1833
860;И. И. Лажечников. Последний Новик (1833) ;0;1833
861;Н. В. Гоголь. Сорочинская ярмарка (1831-1832) ;0;1831
862;Ф. В. Булгарин. Димитрий Самозванец (1830) ;0;1830
863;М. Н. Загоскин. Рославлев, или Русские в 1812 году (1830) ;2;1830
864;М. Н. Загоскин. Рославлев, или Русские в 1812 году (1830) ;1;1830
865;М. Н. Загоскин. Рославлев, или Русские в 1812 году (1830) ;0;1830
866;Ф. В. Булгарин. Иван Иванович Выжигин (1829) ;2;1829
867;Ф. В. Булгарин. Иван Иванович Выжигин (1829) ;0;1829
868;М. Н. Загоскин. Юрий Милославский, или русские в 1612 году (1829) ;1;1829
869;М. Н. Загоскин. Юрий Милославский, или русские в 1612 году (1829) ;0;1829
870;М. Н. Загоскин. Юрий Милославский, или русские в 1612 году (1829) ;0;1829
871;М. Н. Загоскин. Юрий Милославский, или русские в 1612 году (1829) ;2;1829
872;В. Т. Нарежный. Два Ивана, или Страсть к тяжбам (1825) ;0;1825
873;И. М. Долгоруков. Повесть о рождении моем, происхождении и всей моей жизни, писанная мной самим и начатая в Москве, 1788-го года в августе месяце, на 25-ом году моей жизни / Часть 3 (1788-1822) ;0;1788
874;А. С. Шишков. Записки (1780-1814) ;0;1780
875;С. П. Жихарев. Записки современника (1806-1809) ;0;1806
876;М. Д. Чулков. Пригожая повариха, или Похождение развратной женщины (1770) ;0;1770
877;Стефан Савицкий (перевод книги Л. Хольберга). Подземное путешествїе представляющее Исторїю разнородныхъ съ удивительными и неслыханными свойствами животныхъ (1762) ;1;1762
