marker;text;no;translation;stem;rtense;actionality;matrix_tense;nominalization;postposition;corpus
i;Текст 6-13;19;заканчивать;čarkː;pst;dyn;prs;1;oša;oral
i;Текст 6-18-3;59;заканчивать;čarkː;pst;dyn;prs;1;oša;oral
i;Текст 6-18-1;33;заканчивать;čarkː;pst;dyn;prs;1;oša;oral
i;Текст 6-18-5;NA;заканчивать;čarkː;pst;dyn;prs;1;oša;oral
al;Текст 6-18-5;NA;заканчивать;čarkː;npst;dyn;prs;0;0;oral
i;Текст 6-19;18;заканчивать;čarkː;pst;dyn;prs;1;oša;oral
i;Текст 6-19;55;заканчивать;čarkː;pst;dyn;prs;1;oša;oral
al;Текст 47;36;любить;čur;npst;stat;perf;0;0;oral
al;Текст 6-19;39;хотеть;čur;npst;stat;prs;1;0;oral
al;Текст 6-19;39;хотеть;čur;npst;stat;prs;1;0;oral
al;Текст 6-19;39;хотеть;čur;npst;stat;prs;1;0;oral
al;Текст 59;14;приносить;eč;npst;dyn;pot;0;0;oral
al;Текст 6-06;9;приносить;eč;npst;dyn;prs;1;beIšI;oral
al;Текст 6-15;28;приносить;eč;pst;dyn;prs;1;0;oral
i;Текст 6-19;53;приносить;eč;pst;dyn;prs;1;0;oral
al;Текст 6-17;4;шить;eI;npst;dyn;aor;0;0;oral
al;Текст 6-17;7;шить;eI;npst;dyn;prs;1;0;oral
al;Текст 6-17;14;шить;eI;npst;dyn;prs;0;0;oral
al;Текст 6-10;2;брать;eχ;npst;dyn;perf;0;0;oral
al;Текст 47;14;приходить;eʁ;npst;dyn;imp;0;0;oral
al;Текст 6-07;33;брать;eχ;NA;dyn;prs;1;0;oral
i;Текст 6-12;8;брать;eχ;pst;dyn;prs;1;0;oral
al;Текст 6-18-2;36;играть;far;npst;dyn;prs;0;0;oral
al;Текст 6-18-2;37;играть;far;npst;dyn;prs;0;0;oral
i;Текст 6-20;3;думать;fikir;pst;dyn;perf;0;0;oral
i;Текст 6-04;3;греться;gam;pst;dyn;prs;1;oša;oral
i;Текст 59;8;собирать;gir;pst;dyn;pot;0;0;oral
i;Текст 6-18-4;NA;собираться;gir;pst;dyn;prs;0;0;oral
al;Текст 6-19;59;вставать;hajz;npst;dyn;nvp;0;0;oral
i;Текст 004;3;приходить;har;pst;dyn;perf;1;oša;oral
i;Текст 36;12;приходить;har;pst;dyn;pst;0;0;oral
i;Текст 36;12;приходить;har;pst;dyn;pst;0;0;oral
i;Текст 47;7;приходить;har;pst;dyn;perf;1;oša;oral
i;Текст 47;8;приходить;har;pst;dyn;perf;1;oša;oral
i;Текст 6-13;5;приходить;har;pst;dyn;prs;1;oša;oral
i;Текст 6-13;20;приходить;har;pst;dyn;prs;1;oša;oral
i;Текст 6-18-2;55;приходить;har;pst;dyn;cond;1;0;oral
i;Текст 6-19;53;готовить;häzir;pst;dyn;prs;1;0;oral
al;Текст 6-10;2;что-делать;heb;npst;dyn;perf;0;0;oral
i;Текст 6-18-1;27;делиться.пополам;jarilajinš;pst;dyn;prs;1;oša;oral
al;Текст 4;9;жить;jašajnš;npst;stat;nvp;0;0;oral
al;Текст 4;11;жить;jašajnš;npst;stat;prs;0;0;oral
al;Текст 46;5;жить;jašajnš;npst;stat;nvp;0;0;oral
al;Текст 001;59;звать;kːal;npst;dyn;nvp;1;0;oral
al;Текст 001;59;звать;kːal;npst;dyn;nvp;1;0;oral
i;Текст 47;41;учиться;kːal;pst;dyn;nvp;0;0;oral
al;Текст 47;47;учиться;kːal;npst;dyn;perf;0;0;oral
i;Текст 6-18-1;15;звать;kːal;pst;NA;prs;0;0;oral
al;Текст 6-20;16;читать;kːal;NA;dyn;prs;1;0;oral
i;Текст 6-02;3;теплеть;kːüvä;pst;dyn;prs;1;oša;oral
i;Текст 6-19;52;есть;käj;pst;dyn;prs;1;oša;oral
i;Текст 6-21;3;есть;käj;pst;dyn;prs;1;oša;oral
al;Текст 4;4;жить;karχ;npst;stat;nvp;0;0;oral
al;Текст 6-10;2;копать;kašI;npst;dyn;perf;0;0;oral
i;Текст 6-20;9;переселяться;köč;pst;dyn;prs;1;oša;oral
i;Текст 6-08;15;подниматься;lac;pst;dyn;prs;1;oša;oral
i;Текст 6-01;9;насыпать;lap;pst;dyn;prs;1;oša;oral
i;Текст 001;104;класть.сверху;laχ;pst;dyn;prs;1;0;oral
i;Текст 6-09;22;класть.сверху;laχ;pst;dyn;prs;1;oša;oral
i;Текст 4;12;оставаться;mand;NA;stat;nvp;1;0;oral
i;Текст 4;18;оставаться;mand;NA;stat;prs;1;0;oral
i;Текст 42;15;оставаться;mand;pst;stat;aor;1;oša;oral
i;Текст 46;7;оставаться;mand;NA;stat;nvp;0;0;oral
i;Текст 6-06;8;оставаться;mand;NA;stat;prs;0;oša;oral
i;Текст 6-07;38;оставаться;mand;pst;stat;prs;1;oša;oral
i;Текст 6-18-5;NA;оставаться;mand;NA;stat;prs;0;0;oral
i;Текст 6-18-5;NA;оставаться;mand;NA;stat;prs;0;0;oral
al;Текст 6-19;59;оставаться;mand;NA;stat;NA;1;0;oral
i;Текст 6-19;48;оставаться;mand;NA;stat;prs;1;0;oral
i;Текст 55-56;16;заниматься;mäsqːul;npst;dyn;perf;0;0;oral
i;Текст 6-18-5;NA;закапывать;očIalχ;pst;dyn;prs;0;0;oral
i;Текст 001;104;говорить;p;pst;dyn;prs;1;0;oral
i;Текст 6-19;10;говорить;p;pst;dyn;prs;1;oša;oral
i;Текст 6-11;13;достигать;pːapː;pst;dyn;prs;1;0;oral
al;Текст 6-19;41;достигать;pːapː;pst;dyn;nvp;0;0;oral
al;Текст 6-19;20;искать;qaIv;npst;dyn;prs;0;0;oral
al;Текст 6-12;4;резать;šIam;npst;dyn;nvp;0;0;oral
i;Текст 6-12;20;резать;šIam;pst;dyn;prs;1;oša;oral
i;Текст 6-12;21;резать;šIam;pst;dyn;prs;0;0;oral
al;Текст 51;2;ударять;tːapː;npst;dyn;prs;0;0;oral
i;Текст 21;5;уходить;tac;pst;dyn;aor;0;0;oral
i;Текст 58;4;уходить;tac;pst;dyn;prs;1;oša;oral
i;Текст 6-18-4;NA;уходить;tac;pst;dyn;subj;1;0;oral
i;Текст 6-18-1;33;давать;tad;pst;dyn;imp;0;0;oral
al;Текст 6-20;9;давать;tad;npst;dyn;prs;0;0;oral
i;Текст 6-21;46;давать;tad;pst;dyn;prs;0;0;oral
i;Текст 6-19;32;исполняться;taham;pst;dyn;prs;1;oša;oral
al;Текст 59;13;уходить;taʁ;npst;dyn;pot;0;0;oral
al;Текст 6-16;4;уходить;taʁ;npst;dyn;prs;0;0;oral
al;Текст 6-19;59;уходить;taʁ;npst;dyn;NA;1;0;oral
al;Текст 44;8;продавать;toj;npst;dyn;prs;0;0;oral
al;Текст 61;12;продавать;toj;npst;dyn;perf;0;0;oral
al;Текст 61;17;продавать;toj;npst;dyn;perf;0;0;oral
al;Текст 6-09;23;продавать;toj;npst;dyn;perf;1;0;oral
i;Текст 6-07;37;пить;uIʁ;NA;dyn;nvp;0;0;oral
al;Текст 38;38;пить;uIʁ;NA;dyn;nvp;0;0;oral
al;Текст 6-19;60;пить;uIʁ;npst;dyn;prs;1;0;oral
al;Текст 6-19;60;пить;uIʁ;npst;dyn;prs;1;0;oral
al;Текст 6-19;61;пить;uIʁ;npst;dyn;prs;1;0;oral
i;Текст 6-19;59;пить;uIʁ;pst;dyn;prs;1;oša;oral
al;Текст 6-09;23;есть;uk;npst;dyn;perf;1;0;oral
al;Текст 6-15;20;есть;uk;npst;dyn;prs;0;0;oral
al;Текст 6-19;42;есть;uk;npst;dyn;prs;0;0;oral
