variant;region;gender;age;birth_year;position;yat_hard;yat_soft;vocalism;g;ts;ch;variant_num;region_num;gender_num;yat_hard_num;yat_soft_num;vocalism_num;g_num;ch_num
што;Тамбов;ж;59;1943;part;не [и];не [и];аканье сильное;щелевой;[ц] твёрд.;[ч'] мягкий;3;7;1;0;0;0;0;0
што;Тверь;ж;73;1938;conj;не [и];не [и];аканье сильное;щелевой;[ц] твёрд.;[ч'] мягкий;3;8;1;0;0;0;0;0
што;Тверь;ж;73;1938;part;не [и];не [и];аканье сильное;щелевой;[ц] твёрд.;[ч'] мягкий;3;8;1;0;0;0;0;0
што;Тверь;ж;73;1938;pron;не [и];не [и];аканье сильное;взрывной;[ц] твёрд.;[ч'] мягкий;3;8;1;0;0;0;1;0
што;Волгоград;м;67;1926;pron;не [и];непоследовательно [и];аканье сильное;щелевой;[ц] твёрд.;[ч'] мягкий;3;2;0;0;1;0;0;0
што;Волгоград;ж;45;1929;conj;не [и];не [и];аканье сильное;щелевой;[ц] твёрд.;[ч'] мягкий;3;2;1;0;0;0;0;0
што;Волгоград;ж;66;1935;conj;не [и];не [и];аканье сильное;щелевой;[ц] твёрд.;утрата затвора [ш];3;2;1;0;0;0;0;1
што;Волгоград;ж;81;1913;conj;не [и];не [и];аканье сильное;щелевой;[ц] твёрд.;утрата затвора [ш];3;2;1;0;0;0;0;1
што;Волгоград;ж;49;1952;pron;не [и];не [и];аканье сильное;щелевой;[ц] твёрд.;[ч'] мягкий;3;2;1;0;0;0;0;0
што;Волгоград;ж;49;1952;conj;не [и];не [и];аканье сильное;щелевой;[ц] твёрд.;[ч'] мягкий;3;2;1;0;0;0;0;0
што;Волгоград;ж;76;1925;conj;не [и];непоследовательно [и];аканье сильное;щелевой;[ц] твёрд.;утрата затвора [ш];3;2;1;0;1;0;0;1
што;Волгоград;ж;89;1905;conj;не [и];не [и];аканье сильное;щелевой;[ц] твёрд.;[ч'] мягкий;3;2;1;0;0;0;0;0
што;Волгоград;м;86;1914;conj;не [и];не [и];аканье сильное;щелевой;[ц] твёрд.;утрата затвора [ш];3;2;0;0;0;0;0;1
што;Волгоград;ж;86;1914;pron;не [и];непоследовательно [и];аканье сильное;щелевой;[ц] твёрд.;утрата затвора [ш];3;2;1;0;1;0;0;1
што;Волгоград;ж;64;1886;conj;не [и];не [и];аканье сильное;щелевой;[ц] твёрд.;утрата затвора [ш];3;2;1;0;0;0;0;1
што;Волгоград;ж;81;1925;pron;не [и];не [и];аканье сильное;щелевой;утрата затвора [с];утрата затвора [ш];3;2;1;0;0;0;0;1
што;Архангельск;ж;72;1922;conj;не [и];непоследовательно [и];оканье полное;щелевой;[ц'] мягк;[ч'] мягкий;3;1;1;0;1;1;0;0
што;Архангельск;ж;72;1922;pron;непоследовательно [и];непоследовательно [и];оканье полное;взрывной;[ц'] мягк;[ч'] мягкий;3;1;1;1;1;1;1;0
што;Архангельск;ж;72;1922;part;непоследовательно [и];непоследовательно [и];оканье полное;взрывной;[ц'] мягк;[ч'] мягкий;3;1;1;1;1;1;1;0
што;Тамбов;ж;83;1924;pron;не [и];не [и];аканье сильное;щелевой;[ц] твёрд.;[ч'] мягкий;3;7;1;0;0;0;0;0
што;Тамбов;ж;83;1924;conj;не [и];не [и];аканье сильное;щелевой;[ц] твёрд.;[ч'] мягкий;3;7;1;0;0;0;0;0
